Perturbation	Response excess over subset
[PD_01]-[PD_02]	0.0
[PD_01]-[PD_03]	0.0
[PD_01]-[PD_04]	-0.04275380010190233
[PD_01]-[PD_05]	-0.45571996955847993
[PD_01]-[PD_06]	0.0
[PD_01]-[PD_07]	-0.39521993459942184
[PD_01]-[PD_08]	-0.17580863117635537
[PD_01]-[PD_09]	-0.021135302557461655
[PD_01]-[PD_10]	-0.3873188184655231
[PD_01]-[PD_11]	-0.9063491821289062
[PD_01]-[PD_12]	-0.2845350624858469
[PD_01]-[PD_13]	-0.4224827708368716
[PD_01]-[PD_14]	-0.0038646753283515523
[PD_01]-[PD_15]	-0.4692148888629415
[PD_01]-[PD_16]	-0.31370368957519534
[PD_01]-[PD_17]	-0.1293746284816577
[PD_01]-[PD_18]	-0.026348722153815674
[PD_01]-[PD_19]	-0.05759153123023464
[PD_01]-[PD_20]	-0.6250080469520427
[PD_01]-[PD_21]	-0.6250080469520427
[PD_02]-[PD_03]	-0.022413793103448265
[PD_02]-[PD_04]	-0.023601453057650712
[PD_02]-[PD_05]	-0.8710075631024321
[PD_02]-[PD_06]	0.0
[PD_02]-[PD_07]	-0.7884576489695136
[PD_02]-[PD_08]	0.0
[PD_02]-[PD_09]	0.0
[PD_02]-[PD_10]	-0.5264559515591325
[PD_02]-[PD_11]	-0.5676020894731794
[PD_02]-[PD_12]	-0.31993081980738136
[PD_02]-[PD_13]	-0.5480733568915006
[PD_02]-[PD_14]	-0.0021198141163791817
[PD_02]-[PD_15]	-0.5124712187668372
[PD_02]-[PD_16]	-0.42304595771877246
[PD_02]-[PD_17]	-0.16830275963092656
[PD_02]-[PD_18]	-0.05428287900727358
[PD_02]-[PD_19]	-0.09175832434654763
[PD_02]-[PD_20]	-0.8515474825657658
[PD_02]-[PD_21]	-0.8515474825657658
[PD_03]-[PD_04]	-0.04682006835937513
[PD_03]-[PD_05]	-0.8481911975425362
[PD_03]-[PD_06]	-0.015738862136314813
[PD_03]-[PD_07]	-0.733968487796011
[PD_03]-[PD_08]	-0.022988575902478603
[PD_03]-[PD_09]	0.0
[PD_03]-[PD_10]	-0.5241571360620959
[PD_03]-[PD_11]	-0.5676020894731794
[PD_03]-[PD_12]	-0.3105471906990842
[PD_03]-[PD_13]	-0.5739354258570177
[PD_03]-[PD_14]	-0.0021198141163794038
[PD_03]-[PD_15]	-0.4871839326003503
