Perturbation	Response excess over subset
[PD_01]-[PD_02]	0.0
[PD_01]-[PD_03]	0.0
[PD_01]-[PD_04]	-0.05560109313105199
[PD_01]-[PD_05]	-0.2214417836944731
[PD_01]-[PD_06]	0.0
[PD_01]-[PD_07]	-0.2181951291462687
[PD_01]-[PD_08]	-0.193302626335758
[PD_01]-[PD_09]	-0.008297350380314095
[PD_01]-[PD_10]	-0.11794092957402624
[PD_01]-[PD_11]	0.0
[PD_01]-[PD_12]	-0.21886296518531756
[PD_01]-[PD_13]	-0.16723879173887723
[PD_01]-[PD_14]	0.0
[PD_01]-[PD_15]	-0.13249745973399008
[PD_01]-[PD_16]	-0.07639778164071097
[PD_01]-[PD_17]	-0.01195515377420775
[PD_01]-[PD_18]	0.0
[PD_01]-[PD_19]	-0.006774642098117845
[PD_01]-[PD_20]	-0.22312400238325458
[PD_01]-[PD_21]	-0.22312400238325458
[PD_02]-[PD_03]	-0.042285047258649566
[PD_02]-[PD_04]	-0.025320118871228425
[PD_02]-[PD_05]	-0.6209246685861172
[PD_02]-[PD_06]	0.0
[PD_02]-[PD_07]	-0.9031592461430533
[PD_02]-[PD_08]	0.0
[PD_02]-[PD_09]	0.0
[PD_02]-[PD_10]	-0.3230946507947198
[PD_02]-[PD_11]	-0.36896981425668995
[PD_02]-[PD_12]	-0.34110770389951495
[PD_02]-[PD_13]	-0.3498259726338002
[PD_02]-[PD_14]	0.0
[PD_02]-[PD_15]	-0.37243925949622847
[PD_02]-[PD_16]	-0.24806102884226833
[PD_02]-[PD_17]	-0.06833801269531237
[PD_02]-[PD_18]	-5.350047144396797E-4
[PD_02]-[PD_19]	-0.03410012893915915
[PD_02]-[PD_20]	-0.7415911417074138
[PD_02]-[PD_21]	-0.7415911417074138
[PD_03]-[PD_04]	-0.06071199689592621
[PD_03]-[PD_05]	-0.6681987217494418
[PD_03]-[PD_06]	0.0
[PD_03]-[PD_07]	-1.0018037824793165
[PD_03]-[PD_08]	-0.042285047258649566
[PD_03]-[PD_09]	0.0
[PD_03]-[PD_10]	-0.37571427481515063
[PD_03]-[PD_11]	-0.5155952556435308
[PD_03]-[PD_12]	-0.42280229840959804
[PD_03]-[PD_13]	-0.4795151610601515
[PD_03]-[PD_14]	0.0
[PD_03]-[PD_15]	-0.4027750287737164
[PD_03]-[PD_16]	-0.27190167563302176
