Perturbation	Response excess over subset
[PD_01]-[PD_02]	0.0
[PD_01]-[PD_03]	0.0
[PD_01]-[PD_04]	-0.06775063615504329
[PD_01]-[PD_05]	-0.6201583748189813
[PD_01]-[PD_06]	0.0
[PD_01]-[PD_07]	-0.3237644795062679
[PD_01]-[PD_08]	-0.29215327531040836
[PD_01]-[PD_09]	-0.001016260162601812
[PD_01]-[PD_10]	-0.2854766845703125
[PD_01]-[PD_11]	-0.22999999523162842
[PD_01]-[PD_12]	-0.22676475598935286
[PD_01]-[PD_13]	-0.3028000137279979
[PD_01]-[PD_14]	0.0
[PD_01]-[PD_15]	-0.3669935248150089
[PD_01]-[PD_16]	-0.20262096774193547
[PD_01]-[PD_17]	-0.12675508388596324
[PD_01]-[PD_18]	-0.007550470415701227
[PD_01]-[PD_19]	-0.08772335481210414
[PD_01]-[PD_20]	-0.7250869040678987
[PD_01]-[PD_21]	-0.7250869400556086
[PD_02]-[PD_03]	-0.010574761752424555
[PD_02]-[PD_04]	-0.040229849979795285
[PD_02]-[PD_05]	-0.9903684732720179
[PD_02]-[PD_06]	0.0
[PD_02]-[PD_07]	-0.6961084720544648
[PD_02]-[PD_08]	0.0
[PD_02]-[PD_09]	0.0
[PD_02]-[PD_10]	-0.5168181846881734
[PD_02]-[PD_11]	-0.28861004597431905
[PD_02]-[PD_12]	-0.20052516038090107
[PD_02]-[PD_13]	-0.49307243260650885
[PD_02]-[PD_14]	-0.0015445375316023302
[PD_02]-[PD_15]	-0.6049685248013201
[PD_02]-[PD_16]	-0.3811643940128692
[PD_02]-[PD_17]	-0.0914118590645483
[PD_02]-[PD_18]	-0.04437967263475362
[PD_02]-[PD_19]	-0.17677405426121062
[PD_02]-[PD_20]	-0.999271230567286
[PD_02]-[PD_21]	-0.999271230567286
[PD_03]-[PD_04]	-0.05402295342807095
[PD_03]-[PD_05]	-0.9906919544797439
[PD_03]-[PD_06]	-0.008439489342700446
[PD_03]-[PD_07]	-0.6572539239180716
[PD_03]-[PD_08]	-0.013793103448275668
[PD_03]-[PD_09]	0.0
[PD_03]-[PD_10]	-0.5204963420999461
[PD_03]-[PD_11]	-0.28861004597431905
[PD_03]-[PD_12]	-0.21687139079544848
[PD_03]-[PD_13]	-0.4992793396815358
[PD_03]-[PD_14]	-0.003597449198498026
[PD_03]-[PD_15]	-0.606922544282058
