Perturbation	Response excess over subset
[PD_01]-[PD_02]	0.0
[PD_01]-[PD_03]	0.0
[PD_01]-[PD_04]	-0.035487365722656206
[PD_01]-[PD_05]	-0.41070544156161226
[PD_01]-[PD_06]	0.0
[PD_01]-[PD_07]	-0.37497020512437795
[PD_01]-[PD_08]	-0.3214904367879683
[PD_01]-[PD_09]	-0.008921479490113127
[PD_01]-[PD_10]	-0.23049788041548291
[PD_01]-[PD_11]	-0.07777117139452328
[PD_01]-[PD_12]	-0.12947221235795436
[PD_01]-[PD_13]	-0.2462607135194721
[PD_01]-[PD_14]	-0.008000876686789615
[PD_01]-[PD_15]	-0.3060487227006392
[PD_01]-[PD_16]	-0.2011466060236069
[PD_01]-[PD_17]	0.0
[PD_01]-[PD_18]	0.0
[PD_01]-[PD_19]	-0.012036696752452558
[PD_01]-[PD_20]	-0.4121299471173967
[PD_01]-[PD_21]	-0.4121299471173967
[PD_02]-[PD_03]	-0.0024691923165026664
[PD_02]-[PD_04]	-0.01951214549987279
[PD_02]-[PD_05]	-0.6581239504930448
[PD_02]-[PD_06]	0.0
[PD_02]-[PD_07]	-0.8897292028447633
[PD_02]-[PD_08]	0.0
[PD_02]-[PD_09]	0.0
[PD_02]-[PD_10]	-0.4904040825076219
[PD_02]-[PD_11]	-0.251887804142529
[PD_02]-[PD_12]	-0.19164406381002275
[PD_02]-[PD_13]	-0.48975181145396657
[PD_02]-[PD_14]	0.0
[PD_02]-[PD_15]	-0.49730719589605554
[PD_02]-[PD_16]	-0.41410234336663876
[PD_02]-[PD_17]	0.0
[PD_02]-[PD_18]	0.0
[PD_02]-[PD_19]	0.0
[PD_02]-[PD_20]	-0.7829179059780709
[PD_02]-[PD_21]	-0.7829179059780709
[PD_03]-[PD_04]	-0.03209884078414349
[PD_03]-[PD_05]	-0.4413380498061945
[PD_03]-[PD_06]	0.0
[PD_03]-[PD_07]	-0.9837893615534276
[PD_03]-[PD_08]	-0.0024691923165026664
[PD_03]-[PD_09]	0.0
[PD_03]-[PD_10]	-0.7428478547084478
[PD_03]-[PD_11]	-0.6262077705586171
[PD_03]-[PD_12]	-0.15750736430695667
[PD_03]-[PD_13]	-0.8061453030433183
[PD_03]-[PD_14]	0.0
[PD_03]-[PD_15]	-0.4529288492085021
[PD_03]-[PD_16]	-0.7711989301367973
[PD_03]-[PD_17]	0.0
