drug_name,combined_targets,ChEMBL_conc,node_targets,PD_profile
Alpelisib,"PIK3CA, PIK3CB, PIK3CD, PIK3CG",CHEMBL2396661_10000_nM,['PIK3CA'],PD_01
AZD-8055,"MAPKAP1, MLST8, MTOR, PIK3CA, PIK3R1",CHEMBL1801204_10000_nM,"['PIK3CA', 'mTOR_c1', 'mTOR_c2']",PD_02
Capivasertib,AKT1,CHEMBL2325741_10000_nM,['AKT1'],PD_03
Carnosol,"RSK2, RSK1, RSK3, RPS6KA1",CHEMBL218693_10000_nM,['RPS6K_f'],PD_04
Dabrafenib,"ARAF, BRAF, HSF1, RAF1, RIPK2, RIPK3, TGFBR1",CHEMBL2028663_10000_nM,['BRAF'],PD_05
Dactolisib,"ABCB11, ATM, JAK3, MTOR, PIK3C2A, PIK3C2B, PIK3C3, PIK3CA, PIK3CB, PIK3CD, PIK3CG, PIK3R1",CHEMBL1879463_10000_nM,"['PIK3CA', 'mTOR_c1', 'ATM', 'mTOR_c2']",PD_06
Erlotinib,"ABCB11, ABCC2, BRAF, CDK2, EGFR, ERBB2, ERBB3, ERBB4, FLT1, GAK, KDR, PDGFRA, PTK2, SLCO2B1, TBK1",CHEMBL553_10000_nM,"['BRAF', 'CyclinE_CDK2', 'ERBB2', 'EGFR']",PD_07
Everolimus,"ABCB11, MTOR",CHEMBL1908360_10000_nM,"['mTOR_c1', 'mTOR_c2']",PD_08
GSK1904529A,IGF1R,CHEMBL466397_10000_nM,['IGF1R'],PD_09
Ipatasertib,"AKT1, AKT2, AKT3",CHEMBL2177390_10000_nM,['AKT1'],PD_03
Laduviglusib,"CDK1, GSK3A, GSK3B",CHEMBL412142_10000_nM,"['GSK3B', 'CyclinB_CDK1']",PD_10
Lapatinib,"ABCB11, EGFR, ERBB2, ERBB4, KCNH2, PDGFRB",CHEMBL554_10000_nM,"['ERBB2', 'EGFR']",PD_11
Linsitinib,"IGF1R, INSR",CHEMBL1091644_10000_nM,['IGF1R'],PD_09
LJI308,"RSK2, RSK1, RSK3, RPS6KA1",CHEMBL3604794_10000_nM,['RPS6K_f'],PD_04
MK-1775,"PKMYT1, PLK1, WEE1, WNK3",CHEMBL1976040_10000_nM,"['PLK1', 'WEE1']",PD_12
MK-2206,"AKT1, AKT2, AKT3",CHEMBL1079175_10000_nM,['AKT1'],PD_03
Navitoclax,"BCL2, BCL2L1, BCL2L2",CHEMBL443684_10000_nM,"['BCL2', 'BCL2L1']",PD_13
Neratinib,"EGFR, ERBB2, KDR, NEK2",CHEMBL180022_10000_nM,"['ERBB2', 'EGFR']",PD_11
Niraparib,"PARP, PARP1, PARP10, PARP12, PARP14, PARP2, PARP3, PARP4, TNKS, TNKS2",CHEMBL1094636_10000_nM,['PARP1'],PD_14
Obatoclax,BCL2,CHEMBL2107358_10000_nM,['BCL2'],PD_15
Olaparib,"PARP, PARP1, PARP10, PARP16, PARP2, PARP3, PARP4, PARP6, TNKS, TNKS2",CHEMBL521686_10000_nM,['PARP1'],PD_14
Palbociclib,"CCND1, CCND2, CCNK, CCNT1, CDK1, CDK2, CDK4, CDK4/6, CDK6, CDK9, FLT3, JAK3",CHEMBL189963_10000_nM,"['CCND1', 'CyclinD_CDK4_6', 'CyclinE_CDK2', 'CyclinB_CDK1']",PD_16
PF-3644022,MAPKAPK2,CHEMBL1231206_10000_nM,['MAPKAPK2'],PD_17
PF-477736,"CHEK1, CHEK2",CHEMBL3545137_10000_nM,"['CHEK1', 'CHEK2']",PD_18
Prexasertib,"BLK, CHEK1, CHEK2, FLT3, PRKAB1, RPS6KB1",CHEMBL3544911_10000_nM,"['CHEK1', 'CHEK2']",PD_18
Rapamycin,"ABCB1, ABCB11, FKBP1A, MTOR, SLCO1B1",CHEMBL413_10000_nM,"['mTOR_c1', 'mTOR_c2']",PD_08
Sotorasib,KRAS,CHEMBL4535757_10000_nM,['KRAS'],PD_19
Taselisib,"PIK3C2B, PIK3C3, PIK3CA, PIK3CD",CHEMBL2387080_10000_nM,['PIK3CA'],PD_01
Temsirolimus,"ABCB11, MTOR",CHEMBL1201182_10000_nM,"['mTOR_c1', 'mTOR_c2']",PD_08
Torin 1,MTOR,CHEMBL1256459_10000_nM,"['mTOR_c1', 'mTOR_c2']",PD_08
Trametinib,"MAP2K1, MAP2K2",CHEMBL2103875_10000_nM,['MEK_f'],PD_20
Ulixertinib,"ERK1, ERK2, MAPK1, MAPK3",CHEMBL3590106_10000_nM,['ERK_f'],PD_21
Vemurafenib,"ARAF, BRAF, HSF1, KDR, MAP3K20, RAF1",CHEMBL1229517_10000_nM,['BRAF'],PD_05
