drug_name_A,drug_name_B,cell_line,synergy,PD_A,PD_B
AZD-8055,Capivasertib,CAR1,5.841557483,PD_02,PD_03
AZD-8055,Ipatasertib,CAR1,11.20918505,PD_02,PD_03
AZD-8055,Lapatinib,CAR1,18.3044596,PD_02,PD_11
AZD-8055,Navitoclax,CAR1,16.92049151,PD_02,PD_13
AZD-8055,Neratinib,CAR1,19.0119964,PD_02,PD_11
AZD-8055,Obatoclax,CAR1,7.638347624,PD_02,PD_15
AZD-8055,Oxaliplatin,CAR1,-0.032116052,PD_02,
AZD-8055,Palbociclib,CAR1,5.123659208,PD_02,PD_16
AZD-8055,SN-38,CAR1,-0.261015511,PD_02,
AZD-8055,Ulixertinib,CAR1,6.701518917,PD_02,PD_21
Capivasertib,Lapatinib,CAR1,15.5591876,PD_03,PD_11
Capivasertib,Neratinib,CAR1,18.96188844,PD_03,PD_11
Everolimus,Capivasertib,CAR1,11.91344034,PD_08,PD_03
Everolimus,Ipatasertib,CAR1,14.60107217,PD_08,PD_03
Everolimus,Lapatinib,CAR1,15.20290532,PD_08,PD_11
Everolimus,Navitoclax,CAR1,11.97593842,PD_08,PD_13
Everolimus,Neratinib,CAR1,17.97987472,PD_08,PD_11
Everolimus,Obatoclax,CAR1,14.28237654,PD_08,PD_15
Everolimus,Oxaliplatin,CAR1,0.8531608,PD_08,
Everolimus,Palbociclib,CAR1,4.743510752,PD_08,PD_16
Everolimus,SN-38,CAR1,5.01782167,PD_08,
Everolimus,Ulixertinib,CAR1,8.515734785,PD_08,PD_21
Ipatasertib,Lapatinib,CAR1,19.81067295,PD_03,PD_11
Ipatasertib,Neratinib,CAR1,25.6004046,PD_03,PD_11
PF-477736,MK-1775,CAR1,24.42975696,PD_18,PD_12
PF-477736,Niraparib,CAR1,1.278373141,PD_18,PD_14
PF-477736,Olaparib,CAR1,0.600272222,PD_18,PD_14
PF-477736,Palbociclib,CAR1,-12.87755678,PD_18,PD_16
PF-477736,PF-3644022,CAR1,9.079749956,PD_18,PD_17
Prexasertib,MK-1775,CAR1,26.38022237,PD_18,PD_12
Prexasertib,Niraparib,CAR1,-2.542851387,PD_18,PD_14
Prexasertib,Olaparib,CAR1,3.166103226,PD_18,PD_14
Prexasertib,Palbociclib,CAR1,-28.38544047,PD_18,PD_16
Prexasertib,PF-3644022,CAR1,5.486514568,PD_18,PD_17
Torin 1,Capivasertib,CAR1,11.87869306,PD_08,PD_03
Torin 1,Ipatasertib,CAR1,13.03171247,PD_08,PD_03
Torin 1,Lapatinib,CAR1,16.66911758,PD_08,PD_11
Torin 1,Navitoclax,CAR1,15.10049765,PD_08,PD_13
Torin 1,Neratinib,CAR1,18.2824329,PD_08,PD_11
Torin 1,Obatoclax,CAR1,13.00768481,PD_08,PD_15
Torin 1,Oxaliplatin,CAR1,0.002205307,PD_08,
Torin 1,Palbociclib,CAR1,8.25217356,PD_08,PD_16
Torin 1,SN-38,CAR1,2.053586747,PD_08,
Torin 1,Ulixertinib,CAR1,11.6265273,PD_08,PD_21
AZD-8055,Capivasertib,LS123,7.64908779,PD_02,PD_03
AZD-8055,Ipatasertib,LS123,10.75500246,PD_02,PD_03
AZD-8055,Lapatinib,LS123,16.68694203,PD_02,PD_11
AZD-8055,Navitoclax,LS123,23.22242042,PD_02,PD_13
AZD-8055,Neratinib,LS123,20.18205147,PD_02,PD_11
AZD-8055,Obatoclax,LS123,16.81648568,PD_02,PD_15
AZD-8055,Oxaliplatin,LS123,8.21379961,PD_02,
AZD-8055,Palbociclib,LS123,-0.977657128,PD_02,PD_16
AZD-8055,SN-38,LS123,12.76231228,PD_02,
AZD-8055,Ulixertinib,LS123,5.327901919,PD_02,PD_21
Capivasertib,Lapatinib,LS123,10.80763037,PD_03,PD_11
Capivasertib,Neratinib,LS123,17.06639207,PD_03,PD_11
Everolimus,Capivasertib,LS123,15.01348574,PD_08,PD_03
Everolimus,Ipatasertib,LS123,15.05381289,PD_08,PD_03
Everolimus,Lapatinib,LS123,24.45083972,PD_08,PD_11
Everolimus,Navitoclax,LS123,23.37505288,PD_08,PD_13
Everolimus,Neratinib,LS123,22.2139609,PD_08,PD_11
Everolimus,Obatoclax,LS123,10.93813505,PD_08,PD_15
Everolimus,Oxaliplatin,LS123,7.236142465,PD_08,
Everolimus,Palbociclib,LS123,-1.367469055,PD_08,PD_16
Everolimus,SN-38,LS123,14.67084002,PD_08,
Everolimus,Ulixertinib,LS123,10.75691645,PD_08,PD_21
Ipatasertib,Lapatinib,LS123,4.592171572,PD_03,PD_11
Ipatasertib,Neratinib,LS123,7.64550296,PD_03,PD_11
PF-477736,MK-1775,LS123,27.33258129,PD_18,PD_12
PF-477736,Niraparib,LS123,11.70973812,PD_18,PD_14
PF-477736,Olaparib,LS123,2.020814226,PD_18,PD_14
PF-477736,Palbociclib,LS123,8.079667169,PD_18,PD_16
PF-477736,PF-3644022,LS123,25.408327,PD_18,PD_17
Prexasertib,MK-1775,LS123,19.0738737,PD_18,PD_12
Prexasertib,Niraparib,LS123,2.013648454,PD_18,PD_14
Prexasertib,Olaparib,LS123,-1.113639964,PD_18,PD_14
Prexasertib,Palbociclib,LS123,-5.585888389,PD_18,PD_16
Prexasertib,PF-3644022,LS123,7.081072245,PD_18,PD_17
Torin 1,Capivasertib,LS123,9.291091166,PD_08,PD_03
Torin 1,Ipatasertib,LS123,8.823679821,PD_08,PD_03
Torin 1,Lapatinib,LS123,14.96493586,PD_08,PD_11
Torin 1,Navitoclax,LS123,16.27035192,PD_08,PD_13
Torin 1,Neratinib,LS123,18.54322074,PD_08,PD_11
Torin 1,Obatoclax,LS123,13.83168686,PD_08,PD_15
Torin 1,Oxaliplatin,LS123,4.950553931,PD_08,
Torin 1,Palbociclib,LS123,-0.824165232,PD_08,PD_16
Torin 1,SN-38,LS123,7.887572492,PD_08,
Torin 1,Ulixertinib,LS123,6.921868063,PD_08,PD_21
AZD-8055,Capivasertib,T84,4.385304065,PD_02,PD_03
AZD-8055,Ipatasertib,T84,18.63053595,PD_02,PD_03
