,inhibitor_combination,cell_line,tissue,pd_combination,exp_synergy,pred_synergy,exp_binary,pred_binary,confusion_matrix_value
0,AKTi + EGFRi,C2BBE1,,,16.4907216695,0.5155952556435308,True,True,True Positive
1,AKTi + EGFRi,CAR1,,PD_03-PD_11,19.9830383975,0.6246068954467774,True,True,True Positive
2,AKTi + EGFRi,CL11,,,-0.8106205670000001,0.1200680324009486,False,True,False Positive
3,AKTi + EGFRi,HT115,,,8.94964371225,1.2234064139217111,True,True,True Positive
4,AKTi + EGFRi,LS123,,PD_03-PD_11,10.027924243,1.4359145061837302,True,True,True Positive
5,AKTi + EGFRi,NCIH508,,,15.9566272725,1.1694431230391578,True,True,True Positive
6,AKTi + EGFRi,NCIH716,,,11.542453616,0.5824018669409324,True,True,True Positive
7,AKTi + EGFRi,NCIH747,,,19.3234702225,0.288610045974319,True,True,True Positive
8,AKTi + EGFRi,SNU81,,,5.38504496625,0.6262077705586171,True,True,True Positive
9,AKTi + EGFRi,SW1116,,PD_03-PD_11,6.15828313425,0.9799556861401896,True,True,True Positive
10,AKTi + EGFRi,SW1417,,PD_03-PD_11,2.95936396775,0.3666292884725151,True,True,True Positive
11,AKTi + EGFRi,SW1463,,PD_03-PD_11,10.36232480975,0.8801524098714194,True,True,True Positive
12,AKTi + EGFRi,SW620,,PD_03-PD_11,-3.548650943,0.468207275166231,False,True,False Positive
13,AKTi + EGFRi,SW837,,PD_03-PD_11,13.92253053,-0.0,True,False,False Negative
14,AKTi + EGFRi,SW948,,PD_03-PD_11,16.60214235125,1.1745349693384606,True,True,True Positive
15,AKTi + EGFRi,T84,,PD_03-PD_11,16.6542626725,0.5676020894731794,True,True,True Positive
16,AKTi + PIK3_MTORi,C2BBE1,,,4.609794806,0.0422850472586495,True,True,True Positive
17,AKTi + PIK3_MTORi,CAR1,,PD_02-PD_03,8.5253712665,0.0011905125209263,True,True,True Positive
18,AKTi + PIK3_MTORi,CL11,,,-1.1932711979999997,0.0174771161146567,False,True,False Positive
19,AKTi + PIK3_MTORi,HT115,,,9.505322311,0.0030864433006003,True,True,True Positive
20,AKTi + PIK3_MTORi,LS123,,PD_02-PD_03,9.202045125,0.0104166666666665,True,True,True Positive
21,AKTi + PIK3_MTORi,NCIH508,,,4.5183372245,0.0077778116861979,True,True,True Positive
22,AKTi + PIK3_MTORi,NCIH716,,,9.11054762,0.0331615172710615,True,True,True Positive
23,AKTi + PIK3_MTORi,NCIH747,,,7.597240218,0.0105747617524245,True,True,True Positive
24,AKTi + PIK3_MTORi,SNU81,,,5.048071329,0.0024691923165026,True,True,True Positive
