,drug_combination,cell_line,synergy
0,AZD-8055 + Capivasertib,C2BBE1,5.059295998
1,AZD-8055 + Ipatasertib,C2BBE1,4.160293614
2,AZD-8055 + Lapatinib,C2BBE1,10.74002533
3,AZD-8055 + Navitoclax,C2BBE1,-4.972144182
4,AZD-8055 + Neratinib,C2BBE1,2.299110991
5,AZD-8055 + Obatoclax,C2BBE1,6.750379424
6,AZD-8055 + Palbociclib,C2BBE1,-1.366015714
7,AZD-8055 + Ulixertinib,C2BBE1,4.667445162
8,Capivasertib + Lapatinib,C2BBE1,24.56644497
9,Capivasertib + Neratinib,C2BBE1,14.32944997
10,Everolimus + Capivasertib,C2BBE1,15.2192974
11,Everolimus + Ipatasertib,C2BBE1,15.66787242
12,Everolimus + Lapatinib,C2BBE1,20.57916838
13,Everolimus + Navitoclax,C2BBE1,-5.171084106
14,Everolimus + Neratinib,C2BBE1,3.252215534
15,Everolimus + Obatoclax,C2BBE1,15.0767786
16,Everolimus + Palbociclib,C2BBE1,9.212684612
17,Everolimus + Ulixertinib,C2BBE1,13.36899241
18,Ipatasertib + Lapatinib,C2BBE1,26.93925636
19,Ipatasertib + Neratinib,C2BBE1,0.127735378
20,PF-477736 + MK-1775,C2BBE1,-4.628879213
21,PF-477736 + Niraparib,C2BBE1,-6.689295347
22,PF-477736 + Olaparib,C2BBE1,-12.89263236
23,PF-477736 + PF-3644022,C2BBE1,-0.437683593
24,PF-477736 + Palbociclib,C2BBE1,-1.544776367
25,Prexasertib + MK-1775,C2BBE1,12.46070978
26,Prexasertib + Niraparib,C2BBE1,1.026834209
27,Prexasertib + Olaparib,C2BBE1,-13.50311331
28,Prexasertib + PF-3644022,C2BBE1,-0.292359773
29,Prexasertib + Palbociclib,C2BBE1,-3.671044592
30,Torin 1 + Capivasertib,C2BBE1,10.58986412
31,Torin 1 + Ipatasertib,C2BBE1,9.36612698
32,Torin 1 + Lapatinib,C2BBE1,17.21043369
33,Torin 1 + Navitoclax,C2BBE1,-9.604877476
34,Torin 1 + Neratinib,C2BBE1,-1.066734261
35,Torin 1 + Obatoclax,C2BBE1,13.6852991
36,Torin 1 + Palbociclib,C2BBE1,4.472987256
37,Torin 1 + Ulixertinib,C2BBE1,8.7530407
38,AZD-8055 + Capivasertib,CAR1,5.841557483
39,AZD-8055 + Ipatasertib,CAR1,11.20918505
40,AZD-8055 + Lapatinib,CAR1,18.3044596
41,AZD-8055 + Navitoclax,CAR1,16.92049151
42,AZD-8055 + Neratinib,CAR1,19.0119964
43,AZD-8055 + Obatoclax,CAR1,7.638347624
44,AZD-8055 + Palbociclib,CAR1,5.123659208
45,AZD-8055 + Ulixertinib,CAR1,6.701518917
46,Capivasertib + Lapatinib,CAR1,15.5591876
47,Capivasertib + Neratinib,CAR1,18.96188844
48,Everolimus + Capivasertib,CAR1,11.91344034
49,Everolimus + Ipatasertib,CAR1,14.60107217
50,Everolimus + Lapatinib,CAR1,15.20290532
51,Everolimus + Navitoclax,CAR1,11.97593842
52,Everolimus + Neratinib,CAR1,17.97987472
53,Everolimus + Obatoclax,CAR1,14.28237654
54,Everolimus + Palbociclib,CAR1,4.743510752
55,Everolimus + Ulixertinib,CAR1,8.515734785
56,Ipatasertib + Lapatinib,CAR1,19.81067295
57,Ipatasertib + Neratinib,CAR1,25.6004046
58,PF-477736 + MK-1775,CAR1,24.42975696
59,PF-477736 + Niraparib,CAR1,1.278373141
60,PF-477736 + Olaparib,CAR1,0.600272222
61,PF-477736 + PF-3644022,CAR1,9.079749956
62,PF-477736 + Palbociclib,CAR1,-12.87755678
63,Prexasertib + MK-1775,CAR1,26.38022237
64,Prexasertib + Niraparib,CAR1,-2.542851387
65,Prexasertib + Olaparib,CAR1,3.166103226
66,Prexasertib + PF-3644022,CAR1,5.486514568
67,Prexasertib + Palbociclib,CAR1,-28.38544047
68,Torin 1 + Capivasertib,CAR1,11.87869306
69,Torin 1 + Ipatasertib,CAR1,13.03171247
70,Torin 1 + Lapatinib,CAR1,16.66911758
71,Torin 1 + Navitoclax,CAR1,15.10049765
72,Torin 1 + Neratinib,CAR1,18.2824329
73,Torin 1 + Obatoclax,CAR1,13.00768481
74,Torin 1 + Palbociclib,CAR1,8.25217356
75,Torin 1 + Ulixertinib,CAR1,11.6265273
76,AZD-8055 + Capivasertib,CL11,5.475995301
77,AZD-8055 + Ipatasertib,CL11,-7.862537697
78,AZD-8055 + Lapatinib,CL11,-13.21610323
79,AZD-8055 + Navitoclax,CL11,-22.37896751
80,AZD-8055 + Neratinib,CL11,-12.03771568
81,AZD-8055 + Obatoclax,CL11,4.631934152
82,AZD-8055 + Palbociclib,CL11,-1.567140227
83,AZD-8055 + Ulixertinib,CL11,12.76149961
84,Capivasertib + Lapatinib,CL11,-1.253774339
85,Capivasertib + Neratinib,CL11,2.860629018
86,Everolimus + Capivasertib,CL11,12.72650174
87,Everolimus + Ipatasertib,CL11,5.449110594
88,Everolimus + Lapatinib,CL11,1.876399624
89,Everolimus + Navitoclax,CL11,-4.46576728
90,Everolimus + Neratinib,CL11,-3.763332006
91,Everolimus + Obatoclax,CL11,9.135234238
92,Everolimus + Palbociclib,CL11,2.907323195
93,Everolimus + Ulixertinib,CL11,28.97239696
