,drug_name_A,drug_name_B,cell_line,synergy,PD_A,PD_B,Perturbation,drug_combination,inhibitor_group_A,inhibitor_group_B,inhibitor_combination,targets_A,targets_B,target_combination
0,AZD-8055,Capivasertib,CAR1,5.841557483,PD_02,PD_03,PD_02-PD_03,AZD-8055 + Capivasertib,PIK3_MTORi,AKTi,PIK3_MTORi + AKTi,"['PIK3CA', 'mTOR_c1', 'mTOR_c2']",['AKT1'],"['PIK3CA', 'mTOR_c1', 'mTOR_c2'] + ['AKT1']"
1,AZD-8055,Ipatasertib,CAR1,11.20918505,PD_02,PD_03,PD_02-PD_03,AZD-8055 + Ipatasertib,PIK3_MTORi,AKTi,PIK3_MTORi + AKTi,"['PIK3CA', 'mTOR_c1', 'mTOR_c2']",['AKT1'],"['PIK3CA', 'mTOR_c1', 'mTOR_c2'] + ['AKT1']"
2,AZD-8055,Lapatinib,CAR1,18.3044596,PD_02,PD_11,PD_02-PD_11,AZD-8055 + Lapatinib,PIK3_MTORi,EGFRi,PIK3_MTORi + EGFRi,"['PIK3CA', 'mTOR_c1', 'mTOR_c2']","['ERBB2', 'EGFR']","['PIK3CA', 'mTOR_c1', 'mTOR_c2'] + ['ERBB2', 'EGFR']"
3,AZD-8055,Navitoclax,CAR1,16.92049151,PD_02,PD_13,PD_02-PD_13,AZD-8055 + Navitoclax,PIK3_MTORi,BCL2L1i,PIK3_MTORi + BCL2L1i,"['PIK3CA', 'mTOR_c1', 'mTOR_c2']","['BCL2', 'BCL2L1']","['PIK3CA', 'mTOR_c1', 'mTOR_c2'] + ['BCL2', 'BCL2L1']"
4,AZD-8055,Neratinib,CAR1,19.0119964,PD_02,PD_11,PD_02-PD_11,AZD-8055 + Neratinib,PIK3_MTORi,EGFRi,PIK3_MTORi + EGFRi,"['PIK3CA', 'mTOR_c1', 'mTOR_c2']","['ERBB2', 'EGFR']","['PIK3CA', 'mTOR_c1', 'mTOR_c2'] + ['ERBB2', 'EGFR']"
5,AZD-8055,Obatoclax,CAR1,7.638347624,PD_02,PD_15,PD_02-PD_15,AZD-8055 + Obatoclax,PIK3_MTORi,BCL2i,PIK3_MTORi + BCL2i,"['PIK3CA', 'mTOR_c1', 'mTOR_c2']",['BCL2'],"['PIK3CA', 'mTOR_c1', 'mTOR_c2'] + ['BCL2']"
6,AZD-8055,Oxaliplatin,CAR1,-0.032116052,PD_02,,PD_02-nan,AZD-8055 + Oxaliplatin,PIK3_MTORi,,,"['PIK3CA', 'mTOR_c1', 'mTOR_c2']",,
7,AZD-8055,Palbociclib,CAR1,5.123659208,PD_02,PD_16,PD_02-PD_16,AZD-8055 + Palbociclib,PIK3_MTORi,CyclinDi,PIK3_MTORi + CyclinDi,"['PIK3CA', 'mTOR_c1', 'mTOR_c2']","['CCND1', 'CyclinD_CDK4_6', 'CyclinE_CDK2', 'CyclinB_CDK1']","['PIK3CA', 'mTOR_c1', 'mTOR_c2'] + ['CCND1', 'CyclinD_CDK4_6', 'CyclinE_CDK2', 'CyclinB_CDK1']"
8,AZD-8055,SN-38,CAR1,-0.261015511,PD_02,,PD_02-nan,AZD-8055 + SN-38,PIK3_MTORi,,,"['PIK3CA', 'mTOR_c1', 'mTOR_c2']",,
9,AZD-8055,Ulixertinib,CAR1,6.701518917,PD_02,PD_21,PD_02-PD_21,AZD-8055 + Ulixertinib,PIK3_MTORi,ERKi,PIK3_MTORi + ERKi,"['PIK3CA', 'mTOR_c1', 'mTOR_c2']",['ERK_f'],"['PIK3CA', 'mTOR_c1', 'mTOR_c2'] + ['ERK_f']"
