,inhibitor_combination,cell_line,synergy
0,AKTi + EGFRi,C2BBE1,16.4907216695
1,CHEKi + CyclinDi,C2BBE1,-2.6079104795
2,CHEKi + MAPKi,C2BBE1,-0.365021683
3,CHEKi + PARPi,C2BBE1,-8.014551702
4,CHEKi + Wee1i,C2BBE1,3.9159152835
5,PIK3_MTORi + AKTi,C2BBE1,4.609794806
6,PIK3_MTORi + BCL2L1i,C2BBE1,-4.972144182
7,PIK3_MTORi + BCL2i,C2BBE1,6.750379424
8,PIK3_MTORi + CyclinDi,C2BBE1,-1.366015714
9,PIK3_MTORi + EGFRi,C2BBE1,6.5195681605
10,PIK3_MTORi + ERKi,C2BBE1,4.667445162
11,mTORi + AKTi,C2BBE1,12.71079023
12,mTORi + BCL2L1i,C2BBE1,-7.387980791
13,mTORi + BCL2i,C2BBE1,14.38103885
14,mTORi + CyclinDi,C2BBE1,6.842835934
15,mTORi + EGFRi,C2BBE1,9.99377083575
16,mTORi + ERKi,C2BBE1,11.061016555
17,AKTi + EGFRi,CAR1,19.9830383975
18,CHEKi + CyclinDi,CAR1,-20.631498625
19,CHEKi + MAPKi,CAR1,7.2831322620000005
20,CHEKi + PARPi,CAR1,0.6254743005000001
21,CHEKi + Wee1i,CAR1,25.404989665
22,PIK3_MTORi + AKTi,CAR1,8.5253712665
23,PIK3_MTORi + BCL2L1i,CAR1,16.92049151
24,PIK3_MTORi + BCL2i,CAR1,7.638347624
25,PIK3_MTORi + CyclinDi,CAR1,5.123659208
26,PIK3_MTORi + EGFRi,CAR1,18.658228
27,PIK3_MTORi + ERKi,CAR1,6.701518917
28,mTORi + AKTi,CAR1,12.85622951
29,mTORi + BCL2L1i,CAR1,13.538218035
30,mTORi + BCL2i,CAR1,13.645030675000001
31,mTORi + CyclinDi,CAR1,6.497842155999999
32,mTORi + EGFRi,CAR1,17.03358263
33,mTORi + ERKi,CAR1,10.0711310425
34,AKTi + EGFRi,CL11,-0.8106205670000001
35,CHEKi + CyclinDi,CL11,-0.36178393200000003
36,CHEKi + MAPKi,CL11,-6.86050313
37,CHEKi + PARPi,CL11,-7.36515097625
38,CHEKi + Wee1i,CL11,5.1054943535
39,PIK3_MTORi + AKTi,CL11,-1.1932711979999997
40,PIK3_MTORi + BCL2L1i,CL11,-22.37896751
41,PIK3_MTORi + BCL2i,CL11,4.631934152
42,PIK3_MTORi + CyclinDi,CL11,-1.567140227
43,PIK3_MTORi + EGFRi,CL11,-12.626909455
44,PIK3_MTORi + ERKi,CL11,12.76149961
45,mTORi + AKTi,CL11,4.02573741275
46,mTORi + BCL2L1i,CL11,-9.128691355
47,mTORi + BCL2i,CL11,7.868694732
48,mTORi + CyclinDi,CL11,0.22461027550000012
49,mTORi + EGFRi,CL11,-3.5926909780000003
50,mTORi + ERKi,CL11,19.0947002405
51,AKTi + EGFRi,HT115,8.94964371225
52,CHEKi + CyclinDi,HT115,-7.2248436595
53,CHEKi + MAPKi,HT115,-12.6523727875
54,CHEKi + PARPi,HT115,-5.66481161225
55,CHEKi + Wee1i,HT115,-2.768361424
56,PIK3_MTORi + AKTi,HT115,9.505322311
57,PIK3_MTORi + BCL2L1i,HT115,-13.69606644
58,PIK3_MTORi + BCL2i,HT115,7.393244163
59,PIK3_MTORi + CyclinDi,HT115,-8.607893466
60,PIK3_MTORi + EGFRi,HT115,-2.331772482
61,PIK3_MTORi + ERKi,HT115,-6.384213319
62,mTORi + AKTi,HT115,9.76865325675
63,mTORi + BCL2L1i,HT115,-5.208941599
64,mTORi + BCL2i,HT115,14.049531052999999
65,mTORi + CyclinDi,HT115,-1.5290650314999996
66,mTORi + EGFRi,HT115,4.802082063499999
67,mTORi + ERKi,HT115,7.831521821000001
68,AKTi + EGFRi,LS123,10.027924243
69,CHEKi + CyclinDi,LS123,1.2468893900000002
70,CHEKi + MAPKi,LS123,16.2446996225
71,CHEKi + PARPi,LS123,3.657640209
72,CHEKi + Wee1i,LS123,23.203227495
73,PIK3_MTORi + AKTi,LS123,9.202045125
74,PIK3_MTORi + BCL2L1i,LS123,23.22242042
75,PIK3_MTORi + BCL2i,LS123,16.81648568
76,PIK3_MTORi + CyclinDi,LS123,-0.977657128
77,PIK3_MTORi + EGFRi,LS123,18.43449675
78,PIK3_MTORi + ERKi,LS123,5.327901919
79,mTORi + AKTi,LS123,12.045517404249999
80,mTORi + BCL2L1i,LS123,19.822702399999997
81,mTORi + BCL2i,LS123,12.384910954999999
82,mTORi + CyclinDi,LS123,-1.0958171435
83,mTORi + EGFRi,LS123,20.043239305
84,mTORi + ERKi,LS123,8.8393922565
85,AKTi + EGFRi,NCIH508,15.9566272725
86,CHEKi + CyclinDi,NCIH508,-11.282304204999999
87,CHEKi + MAPKi,NCIH508,3.307244679
88,CHEKi + PARPi,NCIH508,-2.1754500775
89,CHEKi + Wee1i,NCIH508,20.09398737
90,PIK3_MTORi + AKTi,NCIH508,4.5183372245
91,PIK3_MTORi + BCL2L1i,NCIH508,25.28721176
92,PIK3_MTORi + BCL2i,NCIH508,8.243421949
93,PIK3_MTORi + CyclinDi,NCIH508,2.202388616
94,PIK3_MTORi + EGFRi,NCIH508,7.116143676
95,PIK3_MTORi + ERKi,NCIH508,13.95298339
96,mTORi + AKTi,NCIH508,7.80320648
97,mTORi + BCL2L1i,NCIH508,25.98261556
98,mTORi + BCL2i,NCIH508,14.690705885
99,mTORi + CyclinDi,NCIH508,14.13588017
100,mTORi + EGFRi,NCIH508,6.2114123995
101,mTORi + ERKi,NCIH508,15.010983945
102,AKTi + EGFRi,NCIH716,11.542453616
103,CHEKi + CyclinDi,NCIH716,-5.5364712025000005
104,CHEKi + MAPKi,NCIH716,-2.005564109
105,CHEKi + PARPi,NCIH716,-10.706961034999999
106,CHEKi + Wee1i,NCIH716,15.215913645
107,PIK3_MTORi + AKTi,NCIH716,9.11054762
108,PIK3_MTORi + BCL2L1i,NCIH716,33.77740792
109,PIK3_MTORi + BCL2i,NCIH716,7.913572326
110,PIK3_MTORi + CyclinDi,NCIH716,-3.541904063
111,PIK3_MTORi + EGFRi,NCIH716,2.6900849835
112,PIK3_MTORi + ERKi,NCIH716,10.78640251
113,mTORi + AKTi,NCIH716,14.338623805
114,mTORi + BCL2L1i,NCIH716,31.430383435
115,mTORi + BCL2i,NCIH716,20.055821245
116,mTORi + CyclinDi,NCIH716,11.552097896500001
117,mTORi + EGFRi,NCIH716,7.58822940475
118,mTORi + ERKi,NCIH716,20.856486505
119,AKTi + EGFRi,NCIH747,19.3234702225
120,CHEKi + CyclinDi,NCIH747,-10.472349279500001
121,CHEKi + MAPKi,NCIH747,-6.9161649565
122,CHEKi + PARPi,NCIH747,-0.6839183115
123,CHEKi + Wee1i,NCIH747,3.2486887584999997
124,PIK3_MTORi + AKTi,NCIH747,7.597240218
125,PIK3_MTORi + BCL2L1i,NCIH747,8.326031374
126,PIK3_MTORi + BCL2i,NCIH747,8.162864264
127,PIK3_MTORi + CyclinDi,NCIH747,-1.990159784
128,PIK3_MTORi + EGFRi,NCIH747,8.1803074565
129,PIK3_MTORi + ERKi,NCIH747,11.1011702
130,mTORi + AKTi,NCIH747,12.8311205425
131,mTORi + BCL2L1i,NCIH747,9.543255796
132,mTORi + BCL2i,NCIH747,18.92189648
133,mTORi + CyclinDi,NCIH747,4.5720109565
134,mTORi + EGFRi,NCIH747,10.7189676
135,mTORi + ERKi,NCIH747,12.15747096
136,AKTi + EGFRi,SNU81,5.38504496625
137,CHEKi + CyclinDi,SNU81,-2.1816518400000002
138,CHEKi + MAPKi,SNU81,4.2992307975
139,CHEKi + PARPi,SNU81,2.84026618375
140,CHEKi + Wee1i,SNU81,17.03254425
141,PIK3_MTORi + AKTi,SNU81,5.048071329
142,PIK3_MTORi + BCL2L1i,SNU81,19.78773505
143,PIK3_MTORi + BCL2i,SNU81,9.28287095
144,PIK3_MTORi + CyclinDi,SNU81,-1.3300907
145,PIK3_MTORi + EGFRi,SNU81,1.2363611385
146,PIK3_MTORi + ERKi,SNU81,1.447512106
147,mTORi + AKTi,SNU81,9.660598383
148,mTORi + BCL2L1i,SNU81,17.061497635000002
149,mTORi + BCL2i,SNU81,12.64631466
150,mTORi + CyclinDi,SNU81,0.45258225450000006
151,mTORi + EGFRi,SNU81,1.8988293440000001
152,mTORi + ERKi,SNU81,3.1672612145
153,AKTi + EGFRi,SW1116,6.15828313425
154,CHEKi + CyclinDi,SW1116,-5.0584001259999996
155,CHEKi + MAPKi,SW1116,-5.9612320685
156,CHEKi + PARPi,SW1116,-25.85536358
157,CHEKi + Wee1i,SW1116,-16.495487015
158,PIK3_MTORi + AKTi,SW1116,-7.2567583935
159,PIK3_MTORi + BCL2L1i,SW1116,8.475028182
160,PIK3_MTORi + BCL2i,SW1116,6.539612098
161,PIK3_MTORi + CyclinDi,SW1116,-1.497618885
162,PIK3_MTORi + EGFRi,SW1116,7.3456089045
163,PIK3_MTORi + ERKi,SW1116,4.222305657
