Perturbation	Emax(k)	Bliss(k)	Excess
PD_01_PD_02	0.412450671482931	0.3473986540637546	0.06505201741917646
PD_01_PD_03	0.6356669252864612	0.5170263810747112	0.11864054421175001
PD_01_PD_07	0.39953677841352053	0.31922231997139844	0.08031445844212205
PD_01_PD_08	0.3674086453900792	0.30186781113902894	0.06554083425105027
PD_03_PD_05	0.0	0.3736271781925709	-0.3736271781925709
PD_03_PD_06	0.7283180381596545	0.7136050007791153	0.014713037380539163
PD_03_PD_07	0.6834851408940429	0.5696106403400276	0.11387450055401539
PD_03_PD_08	0.7379691795334812	0.6230318462872123	0.11493733324626894
PD_03_PD_09	0.7379691795334812	0.7002564525196434	0.03771272701383784
PD_03_PD_10	0.6424635872067181	0.6596951363408474	-0.01723154913412925
PD_05_PD_07	0.4748043876877678	0.32670733561051557	0.1480970520772522
PD_05_PD_08	0.21448913771010325	0.29654008698882167	-0.08205094927871841
PD_05_PD_12	0.40168121461366796	0.344447785673226	0.057233428940441956
PD_06_PD_07	0.5957371076905045	0.5869247568502415	0.008812350840263036
PD_06_PD_08	0.550874445965071	0.5371980500893314	0.013676395875739565
PD_07_PD_08	0.37362304488898884	0.38187536449253023	-0.008252319603541404
PD_07_PD_10	0.522193197876307	0.5699975462620904	-0.04780434838578346
PD_07_PD_12	0.3948910018740372	0.43690622822262754	-0.042015226348590284
PD_08_PD_10	0.4907247930119848	0.5228329617232489	-0.0321081687112641
PD_08_PD_11	0.562442604359121	0.3631566627119418	0.19928594164717914
