Perturbation	Emax(k)	Bliss(k)	Excess
PD_01_PD_02	0.18604366357094917	0.1546291309912173	0.03141453257973188
PD_01_PD_07	0.1692970528222822	0.12421920275070172	0.04507785007158047
PD_01_PD_08	0.15790805606075645	0.11245995421710936	0.04544810184364709
PD_05_PD_07	0.28647924885356124	0.15538547205181577	0.13109377680174547
PD_05_PD_08	0.0	0.13598070563487197	-0.13598070563487197
PD_05_PD_12	0.21005282261061134	0.16179801310300804	0.04825480950760332
PD_06_PD_07	0.45893129740096056	0.453528917779699	0.0054023796212615376
PD_06_PD_08	0.40442841723407696	0.3967102642248212	0.007718153009255724
PD_07_PD_08	0.206224878485267	0.22187739772246096	-0.015652519237194004
PD_07_PD_10	0.2864736032444996	0.40905639654254133	-0.12258279329804168
PD_07_PD_12	0.2100514942320086	0.2698754837264225	-0.05982398949441386
PD_08_PD_10	0.3678758679038848	0.3584598866846186	0.009415981219266232
PD_08_PD_11	0.43262849030937267	0.20309861109753302	0.22952987921183968
