Perturbation	Emax(k)	Bliss(k)	Excess
PD_01_PD_02	0.29739451913395754	0.2386767477195665	0.058717771414391
PD_01_PD_07	0.27648876702102343	0.17920221396456246	0.09728655305646097
PD_01_PD_08	0.24915575803455056	0.17210166418247907	0.07705409385207146
PD_05_PD_07	0.38406507481755753	0.21238648993931653	0.17167858487824106
PD_05_PD_08	0.11660690947440179	0.19403271424928614	-0.07742580477488435
PD_05_PD_12	0.3223290080427603	0.26373068693065743	0.058598321112102905
PD_06_PD_07	0.4416161831256279	0.43390372157887364	0.007712461546754201
PD_06_PD_08	0.43110848738789026	0.4221982735311009	0.008910213856789327
PD_07_PD_08	0.23167462870073785	0.22850797902310968	0.003166649677628154
PD_07_PD_10	0.3840609908146334	0.42694908269072485	-0.0428880918760915
PD_07_PD_12	0.322328018423129	0.308598375578272	0.013729642844857013
PD_08_PD_10	0.37486680238328546	0.41890197203263113	-0.044035169649345646
PD_08_PD_11	0.4457249172071394	0.22357524560477507	0.22214967160236437
