Perturbation	Emax(k)	Bliss(k)	Excess
PD_01_PD_02	0.5358348482886267	0.43151795997261166	0.104316888316015
PD_01_PD_03	0.6072034559362929	0.48635212498463093	0.12085133095166196
PD_01_PD_07	0.5330092645607093	0.4206916675228467	0.11231759703786257
PD_01_PD_08	0.5258365786519353	0.4512428820020581	0.07459369664987729
PD_03_PD_05	0.0	0.37066608522981737	-0.37066608522981737
PD_03_PD_06	0.7185674769371698	0.7045299199378684	0.01403755699930145
PD_03_PD_07	0.6665808124645793	0.5522063205354739	0.1143744919291054
PD_03_PD_08	0.7278801245650495	0.6122103955828627	0.11566972898218682
PD_03_PD_09	0.7278801245650495	0.6914503366956177	0.03642978786943188
PD_03_PD_10	0.5135903820242301	0.546534863056503	-0.03294448103227296
PD_05_PD_07	0.4804414198535475	0.34833630166362617	0.13210511818992127
PD_05_PD_08	0.35964993408298745	0.3638463005847142	-0.004196366501726645
PD_05_PD_12	0.41887614698350434	0.3270975081378409	0.09177863884566345
PD_06_PD_07	0.6665383972491193	0.6560379183747728	0.010500478874346582
PD_06_PD_08	0.707248433865335	0.6962150731248861	0.011033360740448908
PD_07_PD_08	0.5577629650350082	0.5229228454215218	0.03484011961348652
PD_07_PD_10	0.6108374598611824	0.646221789365116	-0.03538432950393364
PD_07_PD_12	0.4065396375328941	0.4568829129530777	-0.05034327542018363
PD_08_PD_10	0.6970473408091441	0.6851498166345087	0.011897524174635467
PD_08_PD_11	0.7216224769486342	0.5658095865004598	0.15581289044817445
