Perturbation	Emax(k)	Bliss(k)	Excess
PD_01_PD_02	0.2761452597304262	0.23022648742056087	0.04591877230986535
PD_01_PD_07	0.254553763908463	0.17936868665123754	0.07518507725722551
PD_01_PD_08	0.22228463485645483	0.1637218677717027	0.05856276708475213
PD_05_PD_07	0.38541800351903616	0.21630722153468288	0.1691107819843533
PD_05_PD_08	0.09351174838986738	0.19215339050144387	-0.09864164211157647
PD_05_PD_12	0.3098847604516438	0.26163625836199594	0.04824850208964787
PD_06_PD_07	0.4611305984493849	0.45339070896204897	0.007739889487335932
PD_06_PD_08	0.42309978020036243	0.410144765117333	0.0129550150830294
PD_07_PD_08	0.2005023654076937	0.23242560614847707	-0.03192324074078337
PD_07_PD_10	0.38541606476870877	0.44860233095933777	-0.06318626619062905
PD_07_PD_12	0.309882190380383	0.3191189661189309	-0.00923677573854795
PD_08_PD_10	0.3491912320460033	0.4069354644808287	-0.05774423243482544
PD_08_PD_11	0.43786530058566525	0.2138125066966604	0.2240527938890049
