Model ID	SS	CyclinB_CDK1	CyclinD_CDK4_6	CASP3	CYCS	CyclinB_CDK1	CyclinD_CDK4_6	CASP3	CYCS
KM12_network_run_11__G9_M0_PD_03	0	NA	NA	NA	NA	NA	NA	NA	NA
KM12_network_run_13__G9_M0_PD_03	0	NA	NA	NA	NA	NA	NA	NA	NA
KM12_network_run_15__G9_M0_PD_03	0	NA	NA	NA	NA	NA	NA	NA	NA
KM12_network_run_12__G9_M0_PD_03	0	NA	NA	NA	NA	NA	NA	NA	NA
KM12_network_run_16__G9_M0_PD_03	0	NA	NA	NA	NA	NA	NA	NA	NA
KM12_network_run_13__G9_M0_PD_03_PD_10	0	NA	NA	NA	NA	NA	NA	NA	NA
KM12_network_run_15__G9_M0_PD_03_PD_10	0	NA	NA	NA	NA	NA	NA	NA	NA
KM12_network_run_11__G9_M0_PD_03_PD_10	0	NA	NA	NA	NA	NA	NA	NA	NA
KM12_network_run_16__G9_M0_PD_03_PD_10	0	NA	NA	NA	NA	NA	NA	NA	NA
KM12_network_run_13__G9_M0_PD_03_PD_06	0	NA	NA	NA	NA	NA	NA	NA	NA
KM12_network_run_12__G9_M0_PD_03_PD_10	0	NA	NA	NA	NA	NA	NA	NA	NA
KM12_network_run_11__G9_M0_PD_03_PD_06	0	NA	NA	NA	NA	NA	NA	NA	NA
KM12_network_run_13__G9_M0_PD_03_PD_07	0	NA	NA	NA	NA	NA	NA	NA	NA
KM12_network_run_13__G9_M0_PD_03_PD_05	0	NA	NA	NA	NA	NA	NA	NA	NA
KM12_network_run_11__G9_M0_PD_03_PD_05	0	NA	NA	NA	NA	NA	NA	NA	NA
KM12_network_run_12__G9_M0_PD_03_PD_07	0	NA	NA	NA	NA	NA	NA	NA	NA
KM12_network_run_15__G9_M0_PD_03_PD_06	0	NA	NA	NA	NA	NA	NA	NA	NA
KM12_network_run_11__G9_M0_PD_03_PD_07	0	NA	NA	NA	NA	NA	NA	NA	NA
KM12_network_run_12__G9_M0_PD_03_PD_06	0	NA	NA	NA	NA	NA	NA	NA	NA
KM12_network_run_15__G9_M0_PD_03_PD_05	0	NA	NA	NA	NA	NA	NA	NA	NA
KM12_network_run_12__G9_M0_PD_03_PD_05	0	NA	NA	NA	NA	NA	NA	NA	NA
KM12_network_run_15__G9_M0_PD_03_PD_07	0	NA	NA	NA	NA	NA	NA	NA	NA
KM12_network_run_16__G9_M0_PD_03_PD_05	0	NA	NA	NA	NA	NA	NA	NA	NA
KM12_network_run_16__G9_M0_PD_03_PD_07	0	NA	NA	NA	NA	NA	NA	NA	NA
KM12_network_run_16__G9_M0_PD_03_PD_06	0	NA	NA	NA	NA	NA	NA	NA	NA
KM12_network_run_13__G9_M0_PD_01_PD_03	0	NA	NA	NA	NA	NA	NA	NA	NA
KM12_network_run_11__G9_M0_PD_01_PD_03	0	NA	NA	NA	NA	NA	NA	NA	NA
KM12_network_run_12__G9_M0_PD_01_PD_03	0	NA	NA	NA	NA	NA	NA	NA	NA
KM12_network_run_15__G9_M0_PD_01_PD_03	0	NA	NA	NA	NA	NA	NA	NA	NA
KM12_network_run_16__G9_M0_PD_01_PD_03	0	NA	NA	NA	NA	NA	NA	NA	NA
KM12_network_run_0__G9_M0_PD_01_PD_02	0	6482	1810	19	9	1	1	1	1
KM12_network_run_0__G9_M0_PD_01_PD_02	1	8910	2487	19	9	1	1	1	1
KM12_network_run_0__G9_M0_PD_01_PD_02	2	19446	5430	19	9	1	1	1	1
KM12_network_run_0__G9_M0_PD_01_PD_02	3	12964	3620	19	9	1	1	1	1
KM12_network_run_0__G9_M0_PD_01_PD_02	4	21874	6107	19	9	1	1	1	1
KM12_network_run_0__G9_M0_PD_01_PD_02	5	15392	4297	19	9	1	1	1	1
KM12_network_run_10__G9_M1_PD_07_PD_10	0	4835	1271	24	6	1	1	1	1
KM12_network_run_10__G9_M1_PD_07_PD_10	1	4835	1271	24	6	1	1	1	1
KM12_network_run_10__G9_M1_PD_07_PD_10	2	4835	1271	24	6	1	1	1	1
KM12_network_run_10__G9_M1_PD_07_PD_10	3	4835	1271	24	6	1	1	1	1
KM12_network_run_10__G9_M1_PD_07_PD_10	4	6248	1644	28	7	1	1	1	1
KM12_network_run_10__G9_M1_PD_07_PD_10	5	6248	1644	28	7	1	1	1	1
KM12_network_run_10__G9_M1_PD_07_PD_10	6	6248	1644	28	7	1	1	1	1
KM12_network_run_10__G9_M1_PD_07_PD_10	7	6248	1644	28	7	1	1	1	1
KM12_network_run_10__G9_M1_PD_01_PD_02	0	6482	1810	64	13	1	1	1	1
KM12_network_run_10__G9_M1_PD_01_PD_02	1	8910	2487	64	13	1	1	1	1
KM12_network_run_10__G9_M1_PD_01_PD_02	2	19446	5430	64	13	1	1	1	1
KM12_network_run_10__G9_M1_PD_01_PD_02	3	12964	3620	64	13	1	1	1	1
KM12_network_run_10__G9_M1_PD_01_PD_02	4	21874	6107	64	13	1	1	1	1
KM12_network_run_10__G9_M1_PD_01_PD_02	5	15392	4297	64	13	1	1	1	1
KM12_network_run_0__G9_M0_PD_01_PD_03	0	6482	1810	19	9	1	1	1	1
KM12_network_run_0__G9_M0_PD_01_PD_03	1	8910	2487	19	9	1	1	1	1
KM12_network_run_0__G9_M0_PD_01_PD_03	2	19446	5430	19	9	1	1	1	1
KM12_network_run_0__G9_M0_PD_01_PD_03	3	12964	3620	19	9	1	1	1	1
KM12_network_run_0__G9_M0_PD_01_PD_03	4	21874	6107	19	9	1	1	1	1
KM12_network_run_0__G9_M0_PD_01_PD_03	5	15392	4297	19	9	1	1	1	1
KM12_network_run_10__G9_M1_PD_01_PD_03	0	6482	1810	64	13	1	1	1	1
KM12_network_run_10__G9_M1_PD_01_PD_03	1	8910	2487	64	13	1	1	1	1
KM12_network_run_10__G9_M1_PD_01_PD_03	2	19446	5430	64	13	1	1	1	1
KM12_network_run_10__G9_M1_PD_01_PD_03	3	12964	3620	64	13	1	1	1	1
KM12_network_run_10__G9_M1_PD_01_PD_03	4	21874	6107	64	13	1	1	1	1
KM12_network_run_10__G9_M1_PD_01_PD_03	5	15392	4297	64	13	1	1	1	1
KM12_network_run_10__G9_M1_PD_03_PD_10	0	6482	1810	-130398	-6695	1	1	0	0
KM12_network_run_10__G9_M1_PD_03_PD_10	1	8910	2487	-179194	-9201	1	1	0	0
KM12_network_run_12__G9_M0_PD_07_PD_10	0	23	-6	-492	12	1	0	0	1
KM12_network_run_12__G9_M0_PD_07_PD_10	1	23	-6	-492	12	1	0	0	1
KM12_network_run_12__G9_M0_PD_07_PD_10	2	30	-7	-630	14	1	0	0	1
KM12_network_run_12__G9_M0_PD_07_PD_10	3	30	-7	-630	14	1	0	0	1
KM12_network_run_12__G9_M0_PD_07_PD_10	4	47	-9	-1086	18	1	0	0	1
KM12_network_run_12__G9_M0_PD_07_PD_10	5	70	-12	-1614	24	1	0	0	1
KM12_network_run_12__G9_M0_PD_07_PD_10	6	47	-9	-1086	18	1	0	0	1
KM12_network_run_12__G9_M0_PD_07_PD_10	7	70	-12	-1614	24	1	0	0	1
