Perturbation	Emax(k)	Bliss(k)	Excess
PD_01_PD_02	0.3475583277769622	0.2984553102186961	0.04910301755826617
PD_01_PD_07	0.3309207844629334	0.2587051049215428	0.07221567954139055
PD_01_PD_08	0.2866770156638435	0.2229709540453491	0.0637060616184944
PD_05_PD_07	0.47461233796947355	0.3130965536376952	0.16151578433177838
PD_05_PD_08	0.15448615140003233	0.2658005648984265	-0.1113144134983942
PD_05_PD_12	0.39512650327471976	0.34255676078760666	0.05256974248711309
PD_06_PD_07	0.5546191867408736	0.5474406428628211	0.007178543878052494
PD_06_PD_08	0.47842188201293623	0.4651398849807926	0.013281997032143578
PD_07_PD_08	0.27617279053835214	0.3091828570424166	-0.03301006650406444
PD_07_PD_10	0.4746117932122084	0.5293795244145858	-0.05476773120237736
PD_07_PD_12	0.39512629367682583	0.40105980219506165	-0.005933508518235785
PD_08_PD_10	0.41052243736435723	0.4514695624468035	-0.040947125082446245
PD_08_PD_11	0.48743860522275007	0.2672602077120079	0.22017839751074214
