Perturbation	Emax(k)	Bliss(k)	Excess
PD_01_PD_02	0.31826462760682356	0.2633222360958024	0.054942391511021135
PD_01_PD_07	0.3002727489203995	0.21471908337433127	0.08555366554606826
PD_01_PD_08	0.26522878823263907	0.19117931469005	0.07404947354258908
PD_05_PD_07	0.43558827110775483	0.2598714085033237	0.1757168626044312
PD_05_PD_08	0.11849080739805119	0.223869269226272	-0.1053784618282208
PD_05_PD_12	0.3585716450546235	0.30528723639828387	0.05328440865633964
PD_06_PD_07	0.5025860686153042	0.4946718045542695	0.007914264061034727
PD_06_PD_08	0.4490187245141679	0.4363950392626861	0.01262368525148184
PD_07_PD_08	0.24979050142378179	0.2639056563230621	-0.014115154899280325
PD_07_PD_10	0.43558390345201287	0.4874079261530173	-0.05182402270100436
PD_07_PD_12	0.3585706034088299	0.35727320538976204	0.0012973980190678692
PD_08_PD_10	0.38322975779146723	0.43071412476547116	-0.047484366974003926
PD_08_PD_11	0.4617328083122095	0.23984529880449398	0.22188750950771557
