Model ID	SS	CyclinB_CDK1	CyclinD_CDK4_6	CASP3	CYCS	CyclinB_CDK1	CyclinD_CDK4_6	CASP3	CYCS
SNU407_network_run_0__G0_M1_PD_03	0	NA	NA	NA	NA	NA	NA	NA	NA
SNU407_network_run_12__G0_M5_PD_03	0	NA	NA	NA	NA	NA	NA	NA	NA
SNU407_network_run_10__G0_M0_PD_03	0	NA	NA	NA	NA	NA	NA	NA	NA
SNU407_network_run_15__G0_M8_PD_03	0	NA	NA	NA	NA	NA	NA	NA	NA
SNU407_network_run_16__G0_M1_PD_03	0	NA	NA	NA	NA	NA	NA	NA	NA
SNU407_network_run_15__G0_M8_PD_03_PD_10	0	NA	NA	NA	NA	NA	NA	NA	NA
SNU407_network_run_13__G0_M9_PD_03_PD_10	0	NA	NA	NA	NA	NA	NA	NA	NA
SNU407_network_run_10__G0_M0_PD_03_PD_10	0	NA	NA	NA	NA	NA	NA	NA	NA
SNU407_network_run_16__G0_M1_PD_03_PD_10	0	NA	NA	NA	NA	NA	NA	NA	NA
SNU407_network_run_0__G0_M1_PD_03_PD_10	0	NA	NA	NA	NA	NA	NA	NA	NA
SNU407_network_run_0__G0_M1_PD_03_PD_06	0	NA	NA	NA	NA	NA	NA	NA	NA
SNU407_network_run_12__G0_M5_PD_03_PD_10	0	NA	NA	NA	NA	NA	NA	NA	NA
SNU407_network_run_0__G0_M1_PD_03_PD_07	0	NA	NA	NA	NA	NA	NA	NA	NA
SNU407_network_run_0__G0_M1_PD_03_PD_05	0	NA	NA	NA	NA	NA	NA	NA	NA
SNU407_network_run_13__G0_M9_PD_03_PD_06	0	NA	NA	NA	NA	NA	NA	NA	NA
SNU407_network_run_13__G0_M9_PD_03_PD_07	0	NA	NA	NA	NA	NA	NA	NA	NA
SNU407_network_run_12__G0_M5_PD_03_PD_06	0	NA	NA	NA	NA	NA	NA	NA	NA
SNU407_network_run_12__G0_M5_PD_03_PD_07	0	NA	NA	NA	NA	NA	NA	NA	NA
SNU407_network_run_12__G0_M5_PD_03_PD_05	0	NA	NA	NA	NA	NA	NA	NA	NA
SNU407_network_run_13__G0_M9_PD_03_PD_05	0	NA	NA	NA	NA	NA	NA	NA	NA
SNU407_network_run_16__G0_M1_PD_03_PD_05	0	NA	NA	NA	NA	NA	NA	NA	NA
SNU407_network_run_15__G0_M8_PD_03_PD_05	0	NA	NA	NA	NA	NA	NA	NA	NA
SNU407_network_run_15__G0_M8_PD_03_PD_06	0	NA	NA	NA	NA	NA	NA	NA	NA
SNU407_network_run_16__G0_M1_PD_03_PD_07	0	NA	NA	NA	NA	NA	NA	NA	NA
SNU407_network_run_16__G0_M1_PD_03_PD_06	0	NA	NA	NA	NA	NA	NA	NA	NA
