Perturbation	Emax(k)	Bliss(k)	Excess
PD_01_PD_02	0.18965771645731305	0.15758058288317453	0.03207713357413852
PD_01_PD_07	0.16696850389319629	0.1161827081958344	0.050785795697361864
PD_01_PD_08	0.1572557897956	0.10844126044899095	0.04881452934660904
PD_05_PD_07	0.2984685533537214	0.15036277501933695	0.14810577833438443
PD_05_PD_08	0.0	0.13333888462952934	-0.13333888462952934
PD_05_PD_12	0.218598228585791	0.1733849538181559	0.04521327476763509
PD_06_PD_07	0.42478002026060063	0.41951521070968	0.005264809550920644
PD_06_PD_08	0.3947208116349356	0.38508930846445344	0.009631503170482204
PD_07_PD_08	0.19695184834630408	0.19868524755443154	-0.0017333992081274613
PD_07_PD_10	0.2984584848913796	0.39492017631259335	-0.09646169142121373
PD_07_PD_12	0.21859585953582822	0.26220313284290886	-0.04360727330708063
PD_08_PD_10	0.33098653809238443	0.36269870005557203	-0.03171216196318761
PD_08_PD_11	0.4191543156476494	0.1883494181244021	0.23080489752324723
