Perturbation	Emax(k)	Bliss(k)	Excess
PD_01_PD_02	0.2790336249502914	0.22944273296565165	0.049590891984639736
PD_01_PD_07	0.2525538765135049	0.17003559624136386	0.08251828027214109
PD_01_PD_08	0.22230097628159023	0.15989643631401673	0.06240453996757348
PD_05_PD_07	0.37444075909221886	0.19937809559341513	0.17506266349880378
PD_05_PD_08	0.08537999659738649	0.17990878862526835	-0.09452879202788185
PD_05_PD_12	0.3038543794118748	0.25391719889093567	0.049937180520939206
PD_06_PD_07	0.43662561637764347	0.42795220296644126	0.008673413411202256
PD_06_PD_08	0.41426072931223806	0.40118063208190746	0.013080097230330576
PD_07_PD_08	0.19902427506760914	0.21639644305596975	-0.01737216798836061
PD_07_PD_10	0.37443608474045137	0.4288092673191862	-0.054373182578734795
PD_07_PD_12	0.30385242048265576	0.30330517426254344	0.0005472462201122886
PD_08_PD_10	0.34527106620763326	0.40324880531572194	-0.057977739108088615
PD_08_PD_11	0.42932032280005505	0.2064406472979265	0.22287967550212856
