Perturbation	Emax(k)	Bliss(k)	Excess
PD_01_PD_02	0.3200271370445539	0.26529415280682506	0.05473298423772879
PD_01_PD_07	0.30074519921478715	0.2146005266309195	0.08614467258386763
PD_01_PD_08	0.2677919064207973	0.1921862126080093	0.07560569381278802
PD_05_PD_07	0.43343232050092373	0.2597893916578082	0.17364292884311555
PD_05_PD_08	0.12303839004327076	0.22376310713175596	-0.10072471708848521
PD_05_PD_12	0.3584881678643196	0.3041972597730087	0.05429090809131089
PD_06_PD_07	0.5019406968807989	0.4940973515166369	0.007843345364162051
PD_06_PD_08	0.44917662106480144	0.43701776408950654	0.012158856975294832
PD_07_PD_08	0.2506961405181228	0.2640747417620584	-0.013378601243935598
PD_07_PD_10	0.4334279032330183	0.4844179758186995	-0.05099007258568123
PD_07_PD_12	0.3584870998293986	0.35683918648960583	0.0016479133397927178
PD_08_PD_10	0.3860172301519907	0.43040677083898055	-0.044389540686989866
PD_08_PD_11	0.4620350434488465	0.24024942801899915	0.22178561542984737
