Perturbation	Emax(k)	Bliss(k)	Excess
PD_01_PD_02	0.1861309849020631	0.154394168605538	0.031736816296525076
PD_01_PD_07	0.16481059328784003	0.11458665873618887	0.050223934551651174
PD_01_PD_08	0.15525768786971805	0.10619217435599083	0.04906551351372721
PD_05_PD_07	0.29809510400100314	0.15035854554831773	0.1477365584526854
PD_05_PD_08	0.0	0.1331147953216158	-0.1331147953216158
PD_05_PD_12	0.2178997358514353	0.17324911045784877	0.044650625393586524
PD_06_PD_07	0.4243729764904672	0.41937463338838493	0.004998343102082332
PD_06_PD_08	0.3922953685779769	0.3835255689432907	0.008769799634686215
PD_07_PD_08	0.19475746005175087	0.19765182448805724	-0.002894364436306382
PD_07_PD_10	0.2980874448534724	0.39389099982954867	-0.09580355497607633
PD_07_PD_12	0.2178979336990751	0.26146763601756345	-0.04356970231848838
PD_08_PD_10	0.3284563204122699	0.3602336667415457	-0.031777346329275806
PD_08_PD_11	0.41633292138616396	0.18623904418412934	0.23009387720203464
