Perturbation	Emax(k)	Bliss(k)	Excess
PD_01_PD_02	0.4589712815372029	0.3587567188365914	0.10021456270061156
PD_01_PD_03	0.5247938637272233	0.40197209329536426	0.12282177043185899
PD_01_PD_07	0.4537000192149499	0.33997960851942044	0.11372041069552942
PD_01_PD_08	0.44370666512826273	0.36125386791180725	0.0824527972164555
PD_03_PD_05	0.0	0.3071533178086717	-0.3071533178086717
PD_03_PD_06	0.6434104133736802	0.6314314939541477	0.011978919419532627
PD_03_PD_07	0.5881610835436863	0.45634746013731736	0.13181362340636893
PD_03_PD_08	0.6530233763452099	0.512496337173572	0.14052703917163795
PD_03_PD_09	0.6530233763452099	0.6063486729017511	0.046674703443458816
PD_03_PD_10	0.5881610835436863	0.61352481622349	-0.025363732679803668
PD_05_PD_07	0.43885456368593245	0.29518604142214927	0.1436685222637832
PD_05_PD_08	0.29647269529524917	0.30240374333979986	-0.005931048044550718
PD_05_PD_12	0.39539777409962745	0.327655295377263	0.06774247872236447
PD_06_PD_07	0.5968203613861807	0.5872260221235434	0.009594339262637266
PD_06_PD_08	0.6305564718611547	0.6207484335417386	0.009808038319416184
PD_07_PD_08	0.4748441378322058	0.4249740183057378	0.049870119526468
PD_07_PD_10	0.5321934396621493	0.5723719990867187	-0.04017855942456942
PD_07_PD_12	0.37970876982900825	0.45019537036579654	-0.07048660053678833
PD_08_PD_10	0.5729849093234217	0.6051987330165027	-0.03221382369308114
PD_08_PD_11	0.6443074211770303	0.4589776176281666	0.18532980354886372
