Perturbation	Emax(k)	Bliss(k)	Excess
PD_01_PD_02	0.34479079370261717	0.29634440148735314	0.048446392215264034
PD_01_PD_07	0.32845813918953987	0.2572217305580329	0.07123640863150695
PD_01_PD_08	0.28299817171537767	0.22169238562511137	0.06130578609026628
PD_05_PD_07	0.4656103270356519	0.30751441047973854	0.15809591655591337
PD_05_PD_08	0.15961812087717203	0.2602437745777438	-0.10062565370057178
PD_05_PD_12	0.3884177895655217	0.3369660465698701	0.0514517429956515
PD_06_PD_07	0.5440201293612988	0.5372583958634057	0.006761733497893122
PD_06_PD_08	0.4712010367172608	0.45892413298065593	0.012276903736604896
PD_07_PD_08	0.27281898022957846	0.3022858243690351	-0.02946684413945664
PD_07_PD_10	0.46560978227838673	0.5215585442137435	-0.055948761935356715
PD_07_PD_12	0.3884175799676278	0.39401132331408695	-0.005593743346459207
PD_08_PD_10	0.40123148020519656	0.4475610868239873	-0.046329606618790715
PD_08_PD_11	0.48057143099069677	0.2615617996879774	0.21900963130271944
