Perturbation	Emax(k)	Bliss(k)	Excess
PD_01_PD_02	0.5355169463104601	0.42850181446752805	0.10701513184293207
PD_01_PD_03	0.6003093810266472	0.4780482596667093	0.12226112135993801
PD_01_PD_07	0.5333825436876042	0.42512498344345045	0.10825756024415373
PD_01_PD_08	0.5364644641384934	0.4670469350549037	0.0694175290835897
PD_03_PD_05	0.0	0.36712418342274983	-0.36712418342274983
PD_03_PD_06	0.7124057330218994	0.6984262803469856	0.013979452674913745
PD_03_PD_07	0.6601149134248188	0.5442953849215552	0.11581952850326346
PD_03_PD_08	0.7218725800888163	0.6048359018134792	0.11703667827533697
PD_03_PD_09	0.7218725800888163	0.6849430467092671	0.03692953337954911
PD_03_PD_10	0.499688089550325	0.5315337713789654	-0.03184568182864038
PD_05_PD_07	0.46294124028309885	0.3386048316636207	0.12433640861947812
PD_05_PD_08	0.3574693860244967	0.36749613431938255	-0.010026748294885923
PD_05_PD_12	0.40093763516115416	0.30321344610407	0.09772418905708415
PD_06_PD_07	0.6748078456946884	0.663844634905169	0.010963210789519496
PD_06_PD_08	0.7344531400379549	0.7228231458586173	0.011629994179337562
PD_07_PD_08	0.5833893612503335	0.5459409452177576	0.03744841603257591
PD_07_PD_10	0.6065538390973197	0.648394850007939	-0.04184101091061922
PD_07_PD_12	0.3874703212855469	0.44955570048225046	-0.062085379196703545
PD_08_PD_10	0.7352617871590261	0.7066346583966208	0.028627128762405345
PD_08_PD_11	0.7525279930298119	0.6003733809432985	0.15215461208651332
