Perturbation	Emax(k)	Bliss(k)	Excess
PD_01_PD_02	0.18788169283287426	0.15657529828094274	0.031306394551931516
PD_01_PD_07	0.16463726492708036	0.11493611261486922	0.04970115231221116
PD_01_PD_08	0.1549081979916016	0.1077205943538522	0.047187603637749403
PD_05_PD_07	0.2939290999071742	0.14730338930440234	0.14662571060277185
PD_05_PD_08	0.0	0.13128984172959673	-0.13128984172959673
PD_05_PD_12	0.21490678238723457	0.17073910775716364	0.04416767463007095
PD_06_PD_07	0.41902785075958554	0.41380278407686205	0.0052250666827235275
PD_06_PD_08	0.39116622103563137	0.3814452873785036	0.009720933657127805
PD_07_PD_08	0.19273364325031028	0.19560440038803587	-0.002870757137725581
PD_07_PD_10	0.29391854435485454	0.38989948664208113	-0.09598094228722659
PD_07_PD_12	0.21490429872786523	0.25863488440055876	-0.04373058567269348
PD_08_PD_10	0.3274934268858572	0.3597264443376123	-0.0322330174517551
PD_08_PD_11	0.415820502049205	0.1858268840042156	0.2299936180449894
