Perturbation	Emax(k)	Bliss(k)	Excess
PD_01_PD_02	0.32372632299567594	0.26888910687686496	0.05483721611881096
PD_01_PD_07	0.3056566634439219	0.2198758977900912	0.08578076565383069
PD_01_PD_08	0.27140240972420326	0.19593820687560748	0.0754642028485958
PD_05_PD_07	0.4446348999169015	0.2676201198026799	0.17701478011422164
PD_05_PD_08	0.12307408581035445	0.22992104371333666	-0.10684695790298221
PD_05_PD_12	0.3663421498900375	0.31197225145849705	0.054369898431540484
PD_06_PD_07	0.5105387571717681	0.5024140157587419	0.008124741413026245
PD_06_PD_08	0.45227511122906344	0.4396731173162916	0.012601993912771794
PD_07_PD_08	0.25411199554391867	0.2695722813273804	-0.015460285783461793
PD_07_PD_10	0.4446305679727544	0.4935211294718948	-0.04889056149914039
PD_07_PD_12	0.3663411166469721	0.3635611016560196	0.0027800149909524966
PD_08_PD_10	0.3891736142998397	0.4334249050582731	-0.04425129075843336
PD_08_PD_11	0.4650594521993222	0.24370654091808347	0.22135291128123874
