Perturbation	Emax(k)	Bliss(k)	Excess
PD_01_PD_02	0.2622942200229776	0.2142926217779806	0.04800159824499694
PD_01_PD_07	0.23583050332413177	0.1549796440365211	0.08085085928761065
PD_01_PD_08	0.2083579034545477	0.14694600224234566	0.061411901212202
PD_05_PD_07	0.3590520392940806	0.18521378577963066	0.17383825351444998
PD_05_PD_08	0.0755251718609121	0.16699742441003387	-0.0914722525491218
PD_05_PD_12	0.287370045903526	0.23888433894428773	0.0484857069592383
PD_06_PD_07	0.4211274804314934	0.4130952428012614	0.008032237630231998
PD_06_PD_08	0.40080634275162536	0.38876377151878094	0.012042571232844402
PD_07_PD_08	0.1900085302811235	0.2030927372895495	-0.013084207008426012
PD_07_PD_10	0.35904731870539885	0.41291304505123555	-0.053865726345836744
PD_07_PD_12	0.28736807609503295	0.2880902599056519	-0.0007221838106189932
PD_08_PD_10	0.33572714738272486	0.39026272468351886	-0.054535577300793954
PD_08_PD_11	0.4165769608950487	0.19462321002415903	0.22195375087088964
