Perturbation	Ensemble average response
[PD_01]	0.6987948608398438
[PD_02]	2.0
[PD_03]	2.0
[PD_05]	1.509261932373047
[PD_06]	1.0
[PD_07]	1.8661904907226563
[PD_08]	1.7622445678710938
[PD_09]	1.8230874633789063
[PD_10]	2.0
[PD_11]	1.7622445678710938
[PD_12]	1.9427700805664063
[PD_01]-[PD_03]	0.9833333492279053
[PD_07]-[PD_08]	1.2989393615722655
[PD_01]-[PD_07]	0.58
[PD_05]-[PD_12]	1.4827618408203125
[PD_03]-[PD_06]	1.0
[PD_07]-[PD_10]	1.77
[PD_03]-[PD_07]	2.0
[PD_07]-[PD_12]	1.4827618408203125
[PD_03]-[PD_05]	-0.5819444259007772
[PD_01]-[PD_08]	0.5790095138549805
[PD_06]-[PD_07]	0.8885714721679687
[PD_03]-[PD_09]	1.4498886108398437
[PD_03]-[PD_08]	1.4498886108398437
[PD_05]-[PD_07]	1.509261932373047
[PD_01]-[PD_02]	0.704333267211914
[PD_03]-[PD_10]	2.0
[PD_08]-[PD_10]	1.669649658203125
[PD_06]-[PD_08]	0.79637939453125
[PD_05]-[PD_08]	-0.27091274261474607
[PD_08]-[PD_11]	1.7622445678710938
