Perturbation	Ensemble average response
[PD_01]	0.68
[PD_02]	2.0
[PD_03]	2.0
[PD_05]	1.3716233825683595
[PD_06]	1.0
[PD_07]	1.6793336486816406
[PD_08]	1.842096710205078
[PD_09]	1.8420965576171875
[PD_10]	2.0
[PD_11]	1.842096710205078
[PD_12]	2.0
[PD_01]-[PD_03]	0.5555555555555556
[PD_07]-[PD_08]	1.1135680389404297
[PD_01]-[PD_07]	0.3653333282470703
[PD_05]-[PD_12]	1.3716233825683595
[PD_03]-[PD_06]	1.0
[PD_07]-[PD_10]	1.5333334350585937
[PD_03]-[PD_07]	2.0
[PD_07]-[PD_12]	1.3716233825683595
[PD_03]-[PD_05]	-1.1666666666666667
[PD_01]-[PD_08]	0.5861069869995117
[PD_06]-[PD_07]	0.7987619018554688
[PD_03]-[PD_09]	1.4696920776367188
[PD_03]-[PD_08]	1.4696920776367188
[PD_05]-[PD_07]	1.3716233825683595
[PD_01]-[PD_02]	0.68
[PD_03]-[PD_10]	2.0
[PD_08]-[PD_10]	1.76671142578125
[PD_06]-[PD_08]	0.8838587188720703
[PD_05]-[PD_08]	-0.3519437026977539
[PD_08]-[PD_11]	1.842096710205078
