Perturbation	Response excess over subset
[PD_01]-[PD_03]	-0.0311111111111112
[PD_07]-[PD_08]	-0.10513022197405375
[PD_01]-[PD_07]	-0.02495505409240728
[PD_05]-[PD_12]	0.0
[PD_03]-[PD_06]	0.0
[PD_07]-[PD_10]	-0.03650005340576179
[PD_03]-[PD_07]	0.08016658782958985
[PD_07]-[PD_12]	-0.07692756652832022
[PD_03]-[PD_05]	-0.6345725123087567
[PD_01]-[PD_08]	0.002975547790527222
[PD_06]-[PD_07]	0.009815416336059646
[PD_03]-[PD_09]	-0.09310111999511728
[PD_03]-[PD_08]	-0.09310115814208986
[PD_05]-[PD_07]	0.06757288550674134
[PD_01]-[PD_02]	0.0
[PD_03]-[PD_10]	0.0
[PD_08]-[PD_10]	-0.018846321105956965
[PD_06]-[PD_08]	5.71546554565483E-4
[PD_05]-[PD_08]	-0.3976173698129642
[PD_08]-[PD_11]	0.037917481890726745
