Perturbation	Response excess over subset
[PD_01]-[PD_03]	0.15862500190734863
[PD_07]-[PD_08]	-0.1324804512023925
[PD_01]-[PD_07]	-0.008439998245239222
[PD_05]-[PD_12]	0.0
[PD_03]-[PD_06]	0.125
[PD_07]-[PD_10]	-0.02749999999999997
[PD_03]-[PD_07]	0.020000000000000018
[PD_07]-[PD_12]	-0.02749999999999997
[PD_03]-[PD_05]	0.03375
[PD_01]-[PD_08]	0.023008414034366487
[PD_06]-[PD_07]	1.907348634588857E-8
[PD_03]-[PD_09]	0.3440787696838379
[PD_03]-[PD_08]	0.35199064254760737
[PD_05]-[PD_07]	0.0373
[PD_01]-[PD_02]	0.0
[PD_03]-[PD_10]	0.0
[PD_08]-[PD_10]	-0.02998664855957034
[PD_06]-[PD_08]	-0.0032216835021972035
[PD_05]-[PD_08]	-0.4143760492324829
[PD_08]-[PD_11]	0.07054186001205232
