Perturbation	Ensemble average response
[PD_01]	0.6987948608398438
[PD_02]	2.0
[PD_03]	2.0
[PD_05]	1.509261932373047
[PD_06]	1.0
[PD_07]	1.8661904907226563
[PD_08]	1.7622447204589844
[PD_09]	1.8230874633789063
[PD_10]	2.0
[PD_11]	1.7622447204589844
[PD_12]	1.9427700805664063
[PD_01]-[PD_03]	0.9833333492279053
[PD_07]-[PD_08]	1.298939208984375
[PD_01]-[PD_07]	0.58
[PD_05]-[PD_12]	1.4827618408203125
[PD_03]-[PD_06]	1.0
[PD_07]-[PD_10]	1.77
[PD_03]-[PD_07]	2.0
[PD_07]-[PD_12]	1.4827618408203125
[PD_03]-[PD_05]	-0.581944465637207
[PD_01]-[PD_08]	0.5790095520019531
[PD_06]-[PD_07]	0.8885713958740235
[PD_03]-[PD_09]	1.449888916015625
[PD_03]-[PD_08]	1.449888916015625
[PD_05]-[PD_07]	1.509261932373047
[PD_01]-[PD_02]	0.7043333435058594
[PD_03]-[PD_10]	2.0
[PD_08]-[PD_10]	1.6696493530273437
[PD_06]-[PD_08]	0.7963793182373047
[PD_05]-[PD_08]	-0.2709127235412598
[PD_08]-[PD_11]	1.7622447204589844
