Perturbation	Ensemble average response
[PD_01]	0.730999984741211
[PD_02]	2.0
[PD_03]	0.0
[PD_05]	1.69
[PD_06]	1.0
[PD_07]	1.81
[PD_08]	1.6944999694824219
[PD_09]	1.7577947998046874
[PD_10]	2.0
[PD_11]	1.6944999694824219
[PD_12]	2.0
[PD_01]-[PD_03]	0.0
[PD_07]-[PD_08]	1.0167979431152343
[PD_01]-[PD_07]	0.561333351135254
[PD_05]-[PD_12]	1.69
[PD_03]-[PD_06]	0.0
[PD_07]-[PD_10]	1.69
[PD_03]-[PD_07]	0.0
[PD_07]-[PD_12]	1.69
[PD_03]-[PD_05]	0.0
[PD_01]-[PD_08]	0.6144533920288086
[PD_06]-[PD_07]	0.87
[PD_03]-[PD_09]	1.25521240234375
[PD_03]-[PD_08]	1.2552124786376953
[PD_05]-[PD_07]	1.69
[PD_01]-[PD_02]	0.730999984741211
[PD_03]-[PD_10]	0.0
[PD_08]-[PD_10]	1.5745530700683594
[PD_06]-[PD_08]	0.7579881286621094
[PD_05]-[PD_08]	-0.22638311386108398
[PD_08]-[PD_11]	1.6944999694824219
