Perturbation	Ensemble average response
[PD_01]	0.7146665954589844
[PD_02]	2.0
[PD_03]	0.0
[PD_05]	1.75
[PD_06]	0.975
[PD_07]	1.84
[PD_08]	1.641046905517578
[PD_09]	1.7314151000976563
[PD_10]	2.0
[PD_11]	1.641046905517578
[PD_12]	2.0
[PD_01]-[PD_03]	0.0
[PD_07]-[PD_08]	0.9521701812744141
[PD_01]-[PD_07]	0.5546666717529297
[PD_05]-[PD_12]	1.75
[PD_03]-[PD_06]	0.0
[PD_07]-[PD_10]	1.75
[PD_03]-[PD_07]	0.0
[PD_07]-[PD_12]	1.75
[PD_03]-[PD_05]	0.0
[PD_01]-[PD_08]	0.5625309753417969
[PD_06]-[PD_07]	0.8599999237060547
[PD_03]-[PD_09]	1.1398790740966798
[PD_03]-[PD_08]	1.1398789978027344
[PD_05]-[PD_07]	1.75
[PD_01]-[PD_02]	0.7146665954589844
[PD_03]-[PD_10]	0.0
[PD_08]-[PD_10]	1.5084214782714844
[PD_06]-[PD_08]	0.6700822448730469
[PD_05]-[PD_08]	-0.13690691947937011
[PD_08]-[PD_11]	1.641046905517578
