Perturbation	Ensemble average response
[PD_01]	0.5419999694824219
[PD_02]	2.0
[PD_03]	2.0
[PD_05]	0.9860952758789062
[PD_06]	1.0
[PD_07]	1.894857177734375
[PD_08]	1.8407684326171876
[PD_09]	1.8737480163574218
[PD_10]	2.0
[PD_11]	1.8407684326171876
[PD_12]	1.607215118408203
[PD_01]-[PD_03]	0.581081081081081
[PD_07]-[PD_08]	1.5750302124023436
[PD_01]-[PD_07]	0.4797142791748047
[PD_05]-[PD_12]	0.9860952758789062
[PD_03]-[PD_06]	1.0
[PD_07]-[PD_10]	1.83
[PD_03]-[PD_07]	2.0
[PD_07]-[PD_12]	0.9860953521728516
[PD_03]-[PD_05]	-0.7981981844515413
[PD_01]-[PD_08]	0.5038517761230469
[PD_06]-[PD_07]	0.9239047241210937
[PD_03]-[PD_09]	1.6569999694824218
[PD_03]-[PD_08]	1.6569999694824218
[PD_05]-[PD_07]	0.9860952758789062
[PD_01]-[PD_02]	0.56
[PD_03]-[PD_10]	2.0
[PD_08]-[PD_10]	1.7945462036132813
[PD_06]-[PD_08]	0.8647482299804687
[PD_05]-[PD_08]	-0.31721643447875975
[PD_08]-[PD_11]	1.8407684326171876
