Perturbation	Ensemble average response
[PD_01]	0.6326666641235351
[PD_02]	2.0
[PD_03]	0.0
[PD_05]	1.78
[PD_06]	1.0
[PD_07]	1.8633334350585937
[PD_08]	1.693983612060547
[PD_09]	1.7739151000976563
[PD_10]	2.0
[PD_11]	1.693983612060547
[PD_12]	2.0
[PD_01]-[PD_03]	0.0
[PD_07]-[PD_08]	1.070469741821289
[PD_01]-[PD_07]	0.5406666564941406
[PD_05]-[PD_12]	1.78
[PD_03]-[PD_06]	0.0
[PD_07]-[PD_10]	1.78
[PD_03]-[PD_07]	0.0
[PD_07]-[PD_12]	1.78
[PD_03]-[PD_05]	0.0
[PD_01]-[PD_08]	0.4541324996948242
[PD_06]-[PD_07]	0.89
[PD_03]-[PD_09]	1.261174545288086
[PD_03]-[PD_08]	1.261174545288086
[PD_05]-[PD_07]	1.78
[PD_01]-[PD_02]	0.6326666641235351
[PD_03]-[PD_10]	0.0
[PD_08]-[PD_10]	1.5650416564941407
[PD_06]-[PD_08]	0.7232941436767578
[PD_05]-[PD_08]	-0.21646028518676758
[PD_08]-[PD_11]	1.693983612060547
