Perturbation	Response excess over subset
[PD_01]-[PD_03]	0.1709166669845581
[PD_07]-[PD_08]	-0.12432571435917927
[PD_01]-[PD_07]	-5.12657556003937E-4
[PD_05]-[PD_12]	0.0
[PD_03]-[PD_06]	0.125
[PD_07]-[PD_10]	-0.020833358764648313
[PD_03]-[PD_07]	0.017083320617675812
[PD_07]-[PD_12]	-0.020833358764648313
[PD_03]-[PD_05]	0.02749999999999997
[PD_01]-[PD_08]	0.005718905343053082
[PD_06]-[PD_07]	-0.001875019073486306
[PD_03]-[PD_09]	0.34355424880981456
[PD_03]-[PD_08]	0.3535456848144532
[PD_05]-[PD_07]	0.03228747596740733
[PD_01]-[PD_02]	0.0
[PD_03]-[PD_10]	0.0
[PD_08]-[PD_10]	-0.03223548889160155
[PD_06]-[PD_08]	-0.011798391342163095
[PD_05]-[PD_08]	-0.42681869964599617
[PD_08]-[PD_11]	0.07065122012939395
