Perturbation	Ensemble average response
[PD_01]	0.5386666870117187
[PD_02]	2.0
[PD_03]	2.0
[PD_05]	0.9077619171142578
[PD_06]	1.0
[PD_07]	1.9177143859863282
[PD_08]	1.97683837890625
[PD_09]	1.97933837890625
[PD_10]	2.0
[PD_11]	1.97683837890625
[PD_12]	1.5612628173828125
[PD_01]-[PD_03]	0.5833333333333334
[PD_07]-[PD_08]	1.8766667175292968
[PD_01]-[PD_07]	0.46447612762451174
[PD_05]-[PD_12]	0.9077619171142578
[PD_03]-[PD_06]	1.0
[PD_07]-[PD_10]	1.85
[PD_03]-[PD_07]	2.0
[PD_07]-[PD_12]	0.9077619171142578
[PD_03]-[PD_05]	-0.846031733921596
[PD_01]-[PD_08]	0.5563235473632813
[PD_06]-[PD_07]	0.9391429138183593
[PD_03]-[PD_09]	1.9279998779296874
[PD_03]-[PD_08]	1.9279998779296874
[PD_05]-[PD_07]	0.9077619934082031
[PD_01]-[PD_02]	0.56
[PD_03]-[PD_10]	2.0
[PD_08]-[PD_10]	1.9547222900390624
[PD_06]-[PD_08]	0.9791912078857422
[PD_05]-[PD_08]	-0.33826408386230467
[PD_08]-[PD_11]	1.97683837890625
