Perturbation	Ensemble average response
[PD_01]	0.5783333587646484
[PD_02]	2.0
[PD_03]	0.0
[PD_05]	1.78
[PD_06]	1.0
[PD_07]	1.8633332824707032
[PD_08]	1.7131382751464843
[PD_09]	1.7837715148925781
[PD_10]	2.0
[PD_11]	1.7131382751464843
[PD_12]	2.0
[PD_01]-[PD_03]	0.0
[PD_07]-[PD_08]	1.0620453643798828
[PD_01]-[PD_07]	0.4839999771118164
[PD_05]-[PD_12]	1.78
[PD_03]-[PD_06]	0.0
[PD_07]-[PD_10]	1.78
[PD_03]-[PD_07]	0.0
[PD_07]-[PD_12]	1.78
[PD_03]-[PD_05]	0.0
[PD_01]-[PD_08]	0.4156385040283203
[PD_06]-[PD_07]	0.89
[PD_03]-[PD_09]	1.2881747436523439
[PD_03]-[PD_08]	1.2881747436523439
[PD_05]-[PD_07]	1.78
[PD_01]-[PD_02]	0.5783333587646484
[PD_03]-[PD_10]	0.0
[PD_08]-[PD_10]	1.5905482482910156
[PD_06]-[PD_08]	0.7568460083007813
[PD_05]-[PD_08]	-0.27988887786865235
[PD_08]-[PD_11]	1.7131382751464843
