Perturbation	Response excess over subset
[PD_01]-[PD_03]	0.17770833015441895
[PD_07]-[PD_08]	-0.13105682645435868
[PD_01]-[PD_07]	-0.001560073110792315
[PD_05]-[PD_12]	0.0
[PD_03]-[PD_06]	0.125
[PD_07]-[PD_10]	-0.020833320617675732
[PD_03]-[PD_07]	0.017083339691162103
[PD_07]-[PD_12]	-0.020833320617675732
[PD_03]-[PD_05]	0.02749999999999997
[PD_01]-[PD_08]	0.005552858474829669
[PD_06]-[PD_07]	-0.001874990463256787
[PD_03]-[PD_09]	0.3490722465515137
[PD_03]-[PD_08]	0.35790140151977545
[PD_05]-[PD_07]	0.03228751201629643
[PD_01]-[PD_02]	0.0
[PD_03]-[PD_10]	0.0
[PD_08]-[PD_10]	-0.03064750671386718
[PD_06]-[PD_08]	-0.007001924514770441
[PD_05]-[PD_08]	-0.44720113697052005
[PD_08]-[PD_11]	0.06657232813925806
