Perturbation	Ensemble average response
[PD_01]	0.68
[PD_02]	2.0
[PD_03]	0.0
[PD_05]	1.4666665649414063
[PD_06]	1.0
[PD_07]	1.68
[PD_08]	1.9321324157714843
[PD_09]	1.9321324157714843
[PD_10]	2.0
[PD_11]	1.9321324157714843
[PD_12]	2.0
[PD_01]-[PD_03]	0.0
[PD_07]-[PD_08]	1.536666717529297
[PD_01]-[PD_07]	0.47400001525878904
[PD_05]-[PD_12]	1.466666717529297
[PD_03]-[PD_06]	0.0
[PD_07]-[PD_10]	1.466666717529297
[PD_03]-[PD_07]	0.0
[PD_07]-[PD_12]	1.466666717529297
[PD_03]-[PD_05]	0.0
[PD_01]-[PD_08]	0.6469331359863282
[PD_06]-[PD_07]	0.7666666412353516
[PD_03]-[PD_09]	1.7489999389648438
[PD_03]-[PD_08]	1.7489999389648438
[PD_05]-[PD_07]	1.466666717529297
[PD_01]-[PD_02]	0.68
[PD_03]-[PD_10]	0.0
[PD_08]-[PD_10]	1.868055419921875
[PD_06]-[PD_08]	0.946544189453125
[PD_05]-[PD_08]	-0.3340150833129883
[PD_08]-[PD_11]	1.932132568359375
