Perturbation	Response excess over subset
[PD_01]-[PD_03]	0.16499999999999998
[PD_07]-[PD_08]	-0.020223776245117064
[PD_01]-[PD_07]	0.0021000038146973266
[PD_05]-[PD_12]	3.8146972580754834E-8
[PD_03]-[PD_06]	0.125
[PD_07]-[PD_10]	-0.053333320617675706
[PD_03]-[PD_07]	0.040000000000000036
[PD_07]-[PD_12]	-0.053333320617675706
[PD_03]-[PD_05]	0.06666667938232418
[PD_01]-[PD_08]	0.0031011043548584416
[PD_06]-[PD_07]	0.0016666603088379972
[PD_03]-[PD_09]	0.4457334327697755
[PD_03]-[PD_08]	0.4457334327697755
[PD_05]-[PD_07]	0.06933336944580082
[PD_01]-[PD_02]	0.0
[PD_03]-[PD_10]	0.0
[PD_08]-[PD_10]	-0.016019248962402255
[PD_06]-[PD_08]	-6.387805938720126E-4
[PD_05]-[PD_08]	-0.4354657692455774
[PD_08]-[PD_11]	0.016679058642288247
