Perturbation	Ensemble average response
[PD_01]	0.705999984741211
[PD_02]	2.0
[PD_03]	0.0
[PD_05]	1.71
[PD_06]	1.0
[PD_07]	1.8266667175292968
[PD_08]	1.7192112731933593
[PD_09]	1.7720353698730469
[PD_10]	2.0
[PD_11]	1.7192112731933593
[PD_12]	2.0
[PD_01]-[PD_03]	0.0
[PD_07]-[PD_08]	1.0604645538330078
[PD_01]-[PD_07]	0.5679999923706055
[PD_05]-[PD_12]	1.71
[PD_03]-[PD_06]	0.0
[PD_07]-[PD_10]	1.71
[PD_03]-[PD_07]	0.0
[PD_07]-[PD_12]	1.71
[PD_03]-[PD_05]	0.0
[PD_01]-[PD_08]	0.5949847030639649
[PD_06]-[PD_07]	0.8666667175292969
[PD_03]-[PD_09]	1.3223553466796876
[PD_03]-[PD_08]	1.3223553466796876
[PD_05]-[PD_07]	1.71
[PD_01]-[PD_02]	0.705999984741211
[PD_03]-[PD_10]	0.0
[PD_08]-[PD_10]	1.6056404113769531
[PD_06]-[PD_08]	0.7741769409179687
[PD_05]-[PD_08]	-0.1655735969543457
[PD_08]-[PD_11]	1.7192111206054688
