Perturbation	Ensemble average response
[PD_01]	0.715999984741211
[PD_02]	2.0
[PD_03]	0.0
[PD_05]	1.72
[PD_06]	0.99
[PD_07]	1.8216667175292969
[PD_08]	1.7114857482910155
[PD_09]	1.7698271179199219
[PD_10]	2.0
[PD_11]	1.7114857482910155
[PD_12]	2.0
[PD_01]-[PD_03]	0.0
[PD_07]-[PD_08]	1.053797836303711
[PD_01]-[PD_07]	0.584666633605957
[PD_05]-[PD_12]	1.72
[PD_03]-[PD_06]	0.0
[PD_07]-[PD_10]	1.72
[PD_03]-[PD_07]	0.0
[PD_07]-[PD_12]	1.72
[PD_03]-[PD_05]	0.0
[PD_01]-[PD_08]	0.5975778579711915
[PD_06]-[PD_07]	0.8616667175292969
[PD_03]-[PD_09]	1.3221647644042969
[PD_03]-[PD_08]	1.3221647644042969
[PD_05]-[PD_07]	1.72
[PD_01]-[PD_02]	0.715999984741211
[PD_03]-[PD_10]	0.0
[PD_08]-[PD_10]	1.5996401977539063
[PD_06]-[PD_08]	0.7658075714111328
[PD_05]-[PD_08]	-0.17171646118164063
[PD_08]-[PD_11]	1.7114859008789063
