Perturbation	Ensemble average response
[PD_01]	0.75
[PD_02]	2.0
[PD_03]	0.0
[PD_05]	1.5266665649414062
[PD_06]	1.0
[PD_07]	1.6366665649414063
[PD_08]	1.8106932067871093
[PD_09]	1.8106932067871093
[PD_10]	2.0
[PD_11]	1.8106932067871093
[PD_12]	2.0
[PD_01]-[PD_03]	0.0
[PD_07]-[PD_08]	0.868416519165039
[PD_01]-[PD_07]	0.4213333511352539
[PD_05]-[PD_12]	1.5266665649414062
[PD_03]-[PD_06]	0.0
[PD_07]-[PD_10]	1.526666717529297
[PD_03]-[PD_07]	0.0
[PD_07]-[PD_12]	1.526666717529297
[PD_03]-[PD_05]	0.0
[PD_01]-[PD_08]	0.6418328857421876
[PD_06]-[PD_07]	0.7466666412353515
[PD_03]-[PD_09]	1.3462318420410155
[PD_03]-[PD_08]	1.3462318420410155
[PD_05]-[PD_07]	1.526666717529297
[PD_01]-[PD_02]	0.75
[PD_03]-[PD_10]	0.0
[PD_08]-[PD_10]	1.7165235900878906
[PD_06]-[PD_08]	0.8592108154296875
[PD_05]-[PD_08]	-0.2677056503295898
[PD_08]-[PD_11]	1.8106932067871093
