Perturbation	Ensemble average response
[PD_01]	0.74
[PD_02]	2.0
[PD_03]	0.0
[PD_05]	1.5166665649414062
[PD_06]	0.99
[PD_07]	1.631666717529297
[PD_08]	1.811256866455078
[PD_09]	1.8167741394042969
[PD_10]	2.0
[PD_11]	1.811256866455078
[PD_12]	2.0
[PD_01]-[PD_03]	0.0
[PD_07]-[PD_08]	0.9070831298828125
[PD_01]-[PD_07]	0.43133331298828126
[PD_05]-[PD_12]	1.516666717529297
[PD_03]-[PD_06]	0.0
[PD_07]-[PD_10]	1.516666717529297
[PD_03]-[PD_07]	0.0
[PD_07]-[PD_12]	1.5166665649414062
[PD_03]-[PD_05]	0.0
[PD_01]-[PD_08]	0.6273102951049805
[PD_06]-[PD_07]	0.7216666412353515
[PD_03]-[PD_09]	1.3743296813964845
[PD_03]-[PD_08]	1.3743296813964845
[PD_05]-[PD_07]	1.5166665649414062
[PD_01]-[PD_02]	0.74
[PD_03]-[PD_10]	0.0
[PD_08]-[PD_10]	1.7194033813476564
[PD_06]-[PD_08]	0.8544107818603516
[PD_05]-[PD_08]	-0.2410390281677246
[PD_08]-[PD_11]	1.811256866455078
