Perturbation	Ensemble average response
[PD_01]	0.75
[PD_02]	2.0
[PD_03]	0.0
[PD_05]	1.526666717529297
[PD_06]	1.0
[PD_07]	1.6366667175292968
[PD_08]	1.8106930541992188
[PD_09]	1.8106930541992188
[PD_10]	2.0
[PD_11]	1.8106930541992188
[PD_12]	2.0
[PD_01]-[PD_03]	0.0
[PD_07]-[PD_08]	0.868416519165039
[PD_01]-[PD_07]	0.4213333892822266
[PD_05]-[PD_12]	1.526666717529297
[PD_03]-[PD_06]	0.0
[PD_07]-[PD_10]	1.526666717529297
[PD_03]-[PD_07]	0.0
[PD_07]-[PD_12]	1.526666717529297
[PD_03]-[PD_05]	0.0
[PD_01]-[PD_08]	0.6418328857421876
[PD_06]-[PD_07]	0.7466666412353515
[PD_03]-[PD_09]	1.3462319946289063
[PD_03]-[PD_08]	1.3462319946289063
[PD_05]-[PD_07]	1.526666717529297
[PD_01]-[PD_02]	0.75
[PD_03]-[PD_10]	0.0
[PD_08]-[PD_10]	1.7165237426757813
[PD_06]-[PD_08]	0.8592108154296875
[PD_05]-[PD_08]	-0.2677056121826172
[PD_08]-[PD_11]	1.8106930541992188
