Perturbation	Ensemble average response
[PD_01]	1.5659771510532925
[PD_02]	1.9869492594401041
[PD_03]	1.819510701497396
[PD_04]	2.0
[PD_05]	2.0
[PD_06]	1.8471748860677084
[PD_07]	1.9825555419921874
[PD_08]	0.8933333333333333
[PD_09]	0.931212666829427
[PD_10]	1.603509521484375
[PD_11]	1.603636841673951
[PD_03]-[PD_08]	0.7621642049153646
[PD_02]-[PD_07]	1.966814982096354
[PD_02]-[PD_08]	0.8970274861653645
[PD_01]-[PD_04]	1.0503818583938311
[PD_02]-[PD_06]	1.8429817708333334
[PD_02]-[PD_05]	1.9870705159505209
[PD_01]-[PD_03]	1.5236919948032923
[PD_03]-[PD_10]	1.4531716918945312
[PD_03]-[PD_09]	0.8122496032714843
[PD_03]-[PD_04]	1.6453273668201691
[PD_03]-[PD_11]	1.3798320515950522
