Perturbation	Ensemble average response
[PD_01]	1.3737944482078015
[PD_02]	1.97
[PD_03]	1.705783182779948
[PD_04]	0.0
[PD_05]	2.0
[PD_06]	1.78
[PD_07]	1.8902779134114582
[PD_08]	0.8533333333333334
[PD_09]	0.9715555826822917
[PD_10]	1.6010000610351562
[PD_11]	1.2662162175254217
[PD_03]-[PD_08]	0.6521143086751302
[PD_02]-[PD_07]	1.876944580078125
[PD_02]-[PD_08]	0.83
[PD_01]-[PD_04]	-0.12006803240094865
[PD_02]-[PD_06]	1.78
[PD_02]-[PD_05]	1.9733333333333334
[PD_01]-[PD_03]	1.344451689384353
[PD_03]-[PD_10]	1.3472276814778645
[PD_03]-[PD_09]	0.7881053161621093
[PD_03]-[PD_04]	0.7796720108895931
[PD_03]-[PD_11]	0.9218549601236979
