Perturbation	Ensemble average response
[PD_01]	1.4203784730699327
[PD_02]	1.9518332926432291
[PD_03]	1.77708251953125
[PD_04]	2.0
[PD_05]	2.0
[PD_06]	1.8159488932291667
[PD_07]	1.9421183268229167
[PD_08]	0.81
[PD_09]	0.8818277994791667
[PD_10]	1.457963155110677
[PD_11]	1.578204429312928
[PD_03]-[PD_08]	0.6516005452473959
[PD_02]-[PD_07]	1.9124365234375
[PD_02]-[PD_08]	0.7880833435058594
[PD_01]-[PD_04]	-0.015535715222358703
[PD_02]-[PD_06]	1.8138655598958333
[PD_02]-[PD_05]	1.9518332926432291
[PD_01]-[PD_03]	1.409961912367079
[PD_03]-[PD_10]	1.2676527913411457
[PD_03]-[PD_09]	0.7405854797363282
[PD_03]-[PD_04]	1.1084755285462338
[PD_03]-[PD_11]	1.2244671630859374
