Perturbation	Ensemble average response
[PD_01]	1.5952779134114583
[PD_02]	1.9591666666666667
[PD_03]	1.8811850992838541
[PD_04]	2.0
[PD_05]	2.0
[PD_06]	1.7454166666666666
[PD_07]	1.995
[PD_08]	0.9191944376627604
[PD_09]	0.9314902750651042
[PD_10]	1.536150614420573
[PD_11]	1.4745681320411572
[PD_03]-[PD_08]	0.8229256693522136
[PD_02]-[PD_07]	1.8894999186197916
[PD_02]-[PD_08]	0.8775
[PD_01]-[PD_04]	0.42583468864704
[PD_02]-[PD_06]	1.7441943359375
[PD_02]-[PD_05]	1.9591666666666667
[PD_01]-[PD_03]	1.5875001017252603
[PD_03]-[PD_10]	1.4640976969401043
[PD_03]-[PD_09]	0.8771342976888021
[PD_03]-[PD_04]	1.4181944529215496
[PD_03]-[PD_11]	1.3601639811197916
