Perturbation	Ensemble average response
[PD_01]	1.5652766844042305
[PD_02]	1.98
[PD_03]	1.8571879069010417
[PD_04]	0.0
[PD_05]	1.9933333333333334
[PD_06]	1.8306111653645833
[PD_07]	1.9308089192708333
[PD_08]	0.8766666666666667
[PD_09]	0.8130317687988281
[PD_10]	1.4815807088216146
[PD_11]	1.2669105812355324
[PD_03]-[PD_08]	0.7636280314127604
[PD_02]-[PD_07]	1.9180000813802083
[PD_02]-[PD_08]	0.8766666666666667
[PD_01]-[PD_04]	0.12465278804302216
[PD_02]-[PD_06]	1.8231111653645833
[PD_02]-[PD_05]	1.98
[PD_01]-[PD_03]	1.5652767882055165
[PD_03]-[PD_10]	1.3658326212565104
[PD_03]-[PD_09]	0.7528751118977864
[PD_03]-[PD_04]	1.3959759127709173
[PD_03]-[PD_11]	1.036460164388021
