PD_profile,inhibitor_group,drug_name,mechanism
PD_01,AKT_inhibitors,"['Ipatasertib', 'Capivasertib']",signal_transduction
PD_02,CHK1_inhibitors,"['PF 477736', 'Prexasertib']",cell_cycle
PD_03,mTOR_inhibitors,"['AZD-8055', 'Everolimus', 'Torin 1']",signal_transduction
PD_04,EGFR_inhibitors,"['Lapatinib', 'Neratinib']",signal_transduction
PD_05,PARP_inhibitors,"['Niraparib', 'Olaparib']",DNA_repair
PD_06,Wee1_inhibitors,"['MK-1775 (Advosertib)', 'MK-1775']",cell_cycle
PD_07,MK2_inhibitors,['PF-3644022'],signal_transduction
PD_08,CyclinD_inhibitors,['Palbociclib'],cell_cycle
PD_09,BCL2L1_inhibitors,['Navitoclax'],apoptotic_sensitizers
PD_10,BCL2_inhibitors,['Obatoclax Mesylate'],apoptotic_sensitizers
PD_11,ERK_inhibitors,['Ulixertinib'],signal_transduction
