drug_name_A,drug_name_B,cell_line,synergy,PD_A,PD_B
AZD-8055,Capivasertib,CAR1,-3.978478323,PD_03,PD_01
AZD-8055,Ipatasertib,CAR1,-0.738205799,PD_03,PD_01
AZD-8055,Lapatinib,CAR1,2.803685385,PD_03,PD_04
AZD-8055,Navitoclax,CAR1,8.998710048,PD_03,PD_09
AZD-8055,Neratinib,CAR1,2.125096633,PD_03,PD_04
AZD-8055,Obatoclax Mesylate,CAR1,-7.804145662,PD_03,PD_10
AZD-8055,oxaliplatin,CAR1,-0.108588474,PD_03,
AZD-8055,Palbociclib,CAR1,2.642530679,PD_03,PD_08
AZD-8055,SN-38,CAR1,-7.050534285,PD_03,
AZD-8055,Ulixertinib,CAR1,3.763021496,PD_03,PD_11
Capivasertib,Lapatinib,CAR1,7.888638492,PD_01,PD_04
Capivasertib,Neratinib,CAR1,11.59057136,PD_01,PD_04
Everolimus,Capivasertib,CAR1,-2.893554767,PD_03,PD_01
Everolimus,Ipatasertib,CAR1,-2.605907328,PD_03,PD_01
Everolimus,Lapatinib,CAR1,-2.283911034,PD_03,PD_04
Everolimus,Navitoclax,CAR1,2.690811975,PD_03,PD_09
Everolimus,Neratinib,CAR1,1.857868534,PD_03,PD_04
Everolimus,Obatoclax Mesylate,CAR1,-0.694886799,PD_03,PD_10
Everolimus,oxaliplatin,CAR1,1.433955598,PD_03,
Everolimus,Palbociclib,CAR1,1.330973598,PD_03,PD_08
Everolimus,SN-38,CAR1,1.221030727,PD_03,
Everolimus,Ulixertinib,CAR1,4.174682219,PD_03,PD_11
Ipatasertib,Lapatinib,CAR1,5.408131487,PD_01,PD_04
Ipatasertib,Neratinib,CAR1,11.17136861,PD_01,PD_04
PF 477736,MK-1775 (Advosertib),CAR1,27.13386203,PD_02,PD_06
PF 477736,Niraparib,CAR1,10.59992368,PD_02,PD_05
PF 477736,Olaparib,CAR1,5.496799367,PD_02,PD_05
PF 477736,Palbociclib,CAR1,-5.983096202,PD_02,PD_08
PF 477736,PF-3644022,CAR1,15.98425753,PD_02,PD_07
Prexasertib,MK-1775 (Advosertib),CAR1,21.64820308,PD_02,PD_06
Prexasertib,Niraparib,CAR1,1.490388133,PD_02,PD_05
Prexasertib,Olaparib,CAR1,1.962425418,PD_02,PD_05
Prexasertib,Palbociclib,CAR1,-26.292472,PD_02,PD_08
Prexasertib,PF-3644022,CAR1,7.346491897,PD_02,PD_07
Torin 1,Capivasertib,CAR1,-1.001524509,PD_03,PD_01
Torin 1,Ipatasertib,CAR1,-1.853435221,PD_03,PD_01
Torin 1,Lapatinib,CAR1,-0.350787624,PD_03,PD_04
Torin 1,Navitoclax,CAR1,6.128915219,PD_03,PD_09
Torin 1,Neratinib,CAR1,1.165263478,PD_03,PD_04
Torin 1,Obatoclax Mesylate,CAR1,-2.436716797,PD_03,PD_10
Torin 1,oxaliplatin,CAR1,0.507575004,PD_03,
Torin 1,Palbociclib,CAR1,5.249426025,PD_03,PD_08
Torin 1,SN-38,CAR1,-2.819010969,PD_03,
Torin 1,Ulixertinib,CAR1,7.850109384,PD_03,PD_11
AZD-8055,Capivasertib,LS123,12.21163137,PD_03,PD_01
AZD-8055,Ipatasertib,LS123,14.43437894,PD_03,PD_01
AZD-8055,Lapatinib,LS123,10.91300552,PD_03,PD_04
AZD-8055,Navitoclax,LS123,16.87665128,PD_03,PD_09
AZD-8055,Neratinib,LS123,7.142619268,PD_03,PD_04
AZD-8055,Obatoclax Mesylate,LS123,5.409589444,PD_03,PD_10
AZD-8055,oxaliplatin,LS123,4.940012294,PD_03,
AZD-8055,Palbociclib,LS123,9.431433352,PD_03,PD_08
AZD-8055,SN-38,LS123,0.052702519,PD_03,
AZD-8055,Ulixertinib,LS123,6.528345699,PD_03,PD_11
Capivasertib,Lapatinib,LS123,4.582642347,PD_01,PD_04
Capivasertib,Neratinib,LS123,10.58703747,PD_01,PD_04
Everolimus,Capivasertib,LS123,21.18507164,PD_03,PD_01
Everolimus,Ipatasertib,LS123,20.68677797,PD_03,PD_01
Everolimus,Lapatinib,LS123,24.15293122,PD_03,PD_04
Everolimus,Navitoclax,LS123,22.47634247,PD_03,PD_09
Everolimus,Neratinib,LS123,19.21354686,PD_03,PD_04
Everolimus,Obatoclax Mesylate,LS123,7.019402796,PD_03,PD_10
Everolimus,oxaliplatin,LS123,5.50529467,PD_03,
